MATERIAL	DESCRIÇÃO DO MATERIAL	Tipo de Material
5697	SACO DE AREIA 10 LITROS	OUTROS
5717	CAIXA DIFJ BT 100A PM-1759I1	OUTROS
5718	CAIXA DERIVAÇÃO DED 1905	OUTROS
5719	CINTURÃO SEG 50MM LARG C/ CINTO, FIVELA	EPI
5724	MÓDULO DE INTERRUPÇÃO TRIFÁSICO	OUTROS
5745	CABO RÍGIDO 16MM² 0,6/1KV	OUTROS
5747	COMPRESSA DE GAZE ESTERIL 7,5X7,5 PLASCALP C/10	OUTROS
5748	RIODENE	OUTROS
5749	ESPARADRAPO 5X4,5	OUTROS
5750	LUVAL ESTERIL	OUTROS
5751	ATADURA CREPE NEVE 10 CM	OUTROS
5752	ALGODÃO 25 G	OUTROS
5753	ESTOJO PRIMEIROS SOCORROS	OUTROS
5754	BEBEDOURO INDUSTRIAL 300L	OUTROS
5779	CHAVE CANHÃO M 13MM ISOLADA	FERRAMENTAL
5781	TRINCHA 2 ½'' ATLAS	OUTROS
5785	CARTÃO DE MEMÓRIA 16G	OUTROS
5824	PÉ DE CABRA EM AÇO 600X29X15 MM	FERRAMENTAL
5828	PEDESTAL ZEBRADO	OUTROS
5829	CORRENTE PLÁSTICA PARA ISOLAMENTO DE ÁREA PRETA E AMARELA	OUTROS
5845	SACOLA NYLON DUBLADO PARA PROTETOR FACIAL	OUTROS
5846	CAPA EM NYLON DUBLADO PARA ÓCULOS	OUTROS
5850	VENTILADOR DE COLUNA OSCILANTE PRETO TUFÃO 60 BIVOLT	OUTROS
5851	CORREIAS	OUTROS
5852	NOBREAK NHS 700VA BIVOLT	ESCRITÓRIO
5876	PLACA DE PVC PARA FIXAÇÃO (CONCENTRADOR SECUNDÁRIO	OUTROS
5877	CAMISA SOCIAL MANGA CURTA AZUL CLARO TAMANHO ESPECIAL	OUTROS
5878	METALATEX FOSCO BASE 1/18	OUTROS
5884	SUPLEMENTO ISOTÔNICO EM PÓ SUDRAT 10G	OUTROS
5887	VENTILADOR DE PAREDE OSCILANTE 40 CM LOREN SID 127 V PT	OUTROS
5904	TABLET SAMSUNG GALAXY TAB2 7.0 16 GB 3G	OUTROS
5912	BOX ELETRODUTO FIXELE 1"	OUTROS
5913	ETIQUETA PARA BASTÃO DE MANOBRA / VARA TELESCOPICA	OUTROS
5918	ADESIVO VELOCIDADE MÁX. 80KM 50X11CM RETANGULAR	OUTROS
5922	TRAFO CORRENTE BCS 10B	OUTROS
5927	CAIXA CONTENTORA 31X36X55 - 55 LITROS	OUTROS
5929	ROLDANA PARA ESCADA	OUTROS
5930	SAPATA PARA ESCADA	OUTROS
5932	GARRAFA PLÁSTICA 500ML - SQUEEZE	OUTROS
5934	CONTATOR POT SC 165 3P 1NA+ 1NF 660V BOB2 S-C165A11M	OUTROS
5935	BANDEIROLA DE SINALIZAÇÃO PADRÃO ENEL	EPC
5945	CABO FLEX 1 KV 90 GR 25,00MM PRETO	OUTROS
5951	TINTA SUVINIL ACRIL. FOSCO PALHA 18 L	OUTROS
5952	TINTA METALATEX LARANJA 18 L	OUTROS
5954	TINTA DE DEMARCAÇÃO BRANCA 18 L	OUTROS
5955	CAMISA ANTI-CHAMAS PADRÃO CAM TAMANHO M	EPI
5956	CALÇA ANTI-CHAMAS PADRÃO CAM TAMANHO M	EPI
5957	CAMISA ANTI-CHAMAS PADRÃO 3C TAMANHO G	EPI
5958	CALÇA ANTI-CHAMAS PADRÃO CAM TAMANHO G	EPI
5980	SACO DE LIXO 100L	OUTROS
5981	SACO DE LIXO 20 LT	OUTROS
6025	TERMINAL OHAL 0,5 - 1,5	OUTROS
6026	CABINHO FLEXÍVEL 750V 0,75MM²	OUTROS
6027	CHAVE DE BOCA 6MM ISOLADA 1000V	FERRAMENTAL
6028	CHAVE DE BOCA 7MM ISOLADA 1000V	FERRAMENTAL
6029	CHAVE DE BOCA 19MM ISOLADA 1000V	FERRAMENTAL
6056	FURADEIRA /PARAFUSADEIRA DEWALT	FERRAMENTAL
6057	JOGO DE CHAVES COMBINADAS COM CATRACA	FERRAMENTAL
6058	JOGO DE CHAVES E SOQUETES SEXTAVADOS 120 PEÇAS	FERRAMENTAL
6059	TERMINAL OLHAL 1,5 - 3,0	OUTROS
6093	CABO FLEX 1KV 90GR 16.00MM PRETO	OUTROS
6094	PARAFUSADEIRA 4,8 VOLTS MOD6723DW 27V	FERRAMENTAL
6099	COMPRESSOR 1/3 R134 220V EMBRACO EGAS 100HLR	OUTROS
6102	NUMERADOR AUTOMÁTICO DE METAL 	ESCRITÓRIO
6109	ROTULADOR BROTHER PT-80	OUTROS
6111	SWITCH HP V1910-24G	OUTROS
6112	SWITCH HP 1410-24-2G	OUTROS
6115	TC - TRAFO CORRENTE BCS10B	OUTROS
6117	CABO FLEX 1,5MM 750V AZUL	OUTROS
6118	CABO FLEX 1,5MM 750V VERDE E AMARELO	OUTROS
6119	TESOURA PARA CHAPA STANLEY	FERRAMENTAL
6121	BORNE ELÉTRICO CDS6U	OUTROS
6122	TAMPA DE BORNE EPCDS6U	OUTROS
6125	ANTENA EXTERNA PARA GPS	OUTROS
6126	ION CODI CONVERSOR	OUTROS
6138	DATA LOGGER TESTO MODELO 174H	OUTROS
6139	TESTO 174D - INTERFACE DE COMUNICAÇÃO USB	OUTROS
6140	INTERFONE	OUTROS
6141	FITA DUPLA FACE 18MMX30M	ESCRITÓRIO
6145	ADESIVO LOGO CAM PARA VEÍCULO COM FORMATO 27X10CM	OUTROS
6155	TINTA SUVINIL PISO CINZA	OUTROS
6156	TINTA EPOXI DÁGUA BRANCA	OUTROS
6172	ADAPTADOR Nº2 P/ SERRA COPO DE 32MM A 210MM	FERRAMENTAL
6178	LUVA ANTI-CORTE MAPA 557 - TAMANHO G	EPI
6179	LUVA ANTI-CORTE MAPA 557 - TAMANHO XG	EPI
6238	DISJUNTOR TRIPOLAR 125A 127V	OUTROS
6248	CAPACETE SEGURANÇA ABA FRONTAL 38MM MSA COR VERDE SEM LOGO	EPI
6263	MASSA ACRÍLICA	OUTROS
6264	ROLO DE 23 CM DE LÃ ANTIGOTAS C/ CABO ATLAS	OUTROS
7739	LÂMPADA LED TUBULAR 20W 6500K 1,20MT	OUTROS
7746	CAPA DE LINER RITZ	OUTROS
7822	SMARTPHONE SAMSUNG GALAXY J6 PLUS	OUTROS
7826	ADAPTADOR DE REDE USB P/ RJ45	OUTROS
7830	ADESIVO "LOGO 3C NOVA" P/ VEÍCULO C/ FORMATO 31,5X17CM	OUTROS
7881	REFIL DE TINTA PRETA IMPRESSORA EPSON L805	OUTROS
7882	ADESIVO IMANTADO LOGO ENEL 30X42 CM	OUTROS
7883	KIT FROTA NOVO C/ LOGO ENEL C/ 4 ADESIVOS	OUTROS
7885	ADESIVO "EMERGÊNCIA" FORMATO 80X20 CM	OUTROS
7912	SAPATA PARA ESCADA SINGELA	OUTROS
7939	ADESIVO TRANSPARENTE SÍMBOLO 3C P/ VIDRO CARROS	OUTROS
7952	REFIL DE TINTA COLORIDA CIANO IMPRESSORA EPSON L805	ESCRITÓRIO
7959	REFIL DE TINTA COLORIDA MAGENTA IMPRESSORA EPSON L805	ESCRITÓRIO
7960	REFIL DE TINTA COLORIDA MAGENTA LIGHT IMPRESSORA EPSON L805	ESCRITÓRIO
7961	REFIL DE TINTA COLORIDA CIANO LIGHT IMPRESSORA EPSON L805	ESCRITÓRIO
7962	REFIL DE TINTA COLORIDA YELLOW IMPRESSORA EPSON L805	ESCRITÓRIO
7965	SUPORTE PARA MONITOR C/ 2 GAVETAS PRETO/BRANCO	ESCRITÓRIO
7983	BIT FENDA SL6 LONGO 100MM 2 PONTAS 111-0036 MAKITA	OUTROS
7984	BIT PHILLIPS PH2 LONGO 100MM 11-0024 MAKITA	OUTROS
7985	BIT ALLEN 4MM LONGO 100MM COM 2 PONTAS 111-0030	OUTROS
7989	CAMISA MALHA AZUL MESCLA 100% ALG.''3C'' TAM. G	OUTROS
7994	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI TAM. P	EPI
8012	CAMISA POLO MASCULINA ADM TAM.G	OUTROS
8100	CARTAO DE MEMORIA SD CARD / CLASSE 10 / 64 GB	OUTROS
8134	ABRAÇADEIRA NYLON 203MM² PRETA DDT-1750 I.3	OUTROS
8441	PINO BANANA PB084 VERMELHO	OUTROS
8454	LACRE ROTO SEAL II	OUTROS
8567	CAMISA SOCIAL MASC. MANGA LONGA TRAD. JEANS TAM. M 	OUTROS
8568	CAMISA SOCIAL MASC. MANGA LONGA TRAD. JEANS TAM. G 	OUTROS
8569	CAMISETE SOCIAL FEM. MANGA LONGA TRAD. JEANS TAM. M 	OUTROS
8570	CAMISETE SOCIAL FEM. MANGA LONGA TRAD. JEANS TAM. G	OUTROS
8587	ALCOOL GEL 70o SANITIZANTE P/ MAOS 1L	OUTROS
8588	ALCOOL EM GEL 70% 5L	OUTROS
8605	TERMOMETRO DIGITAL	OUTROS
8606	PAPEL TOALHA INTERFOLHA BRANCO	OUTROS
8613	PRODUTO DE ACRÍLICO SOB MEDIDA	OUTROS
8624	HIPOCLORITO 1% 5LT CORDEX	OUTROS
8627	LUVA P/ LIMPEZA AMARELA	OUTROS
8628	LUVA DESCARTAVEL C/ PO - CX C/ 100 UNID	OUTROS
8649	REFLETOR PRETO SUPER LED 100W 6000K BIVOLT	OUTROS
8653	ÓLEO LUBRIFICANTE SPRAY	OUTROS
8662	MASCARA REUTILIZAVEL DE TECIDO	OUTROS
8669	SAQUINHO PARA MASCARA DE TECIDO	OUTROS
8676	SMARTPHONE MULTILASER MS40G DUAL SIM	OUTROS
8684	LEITOR DE CARTÃO DE MEMÓRIA	OUTROS
8702	ADAPTADOR WIRELESS N 300 MBPS USB MINI TP LINK	OUTROS
8726	CAMISA SOCIAL MASC. MANGA LONGA JEANS TAM. P	OUTROS
8727	CAMISETE SOCIAL FEM. MANGA LONGA JEANS TAM. GG	OUTROS
8728	CAMISA SOCIAL MASC. MANGA LONGA JEANS TAM. GG	OUTROS
8729	CALÇA FUNCIONÁRIO BRIM PRETA TAM.M 42-45 UNIF	OUTROS
8752	SACO DE RAFIA 50 UNID	OUTROS
8777	CABO DE TENSÃO 12M DA BUCHA DE ALTA HIPOT	OUTROS
8795	CAMISA SOCIAL BRANCA MANGA CURTA SECRETÁRIA	OUTROS
8796	CAMISA SOCIAL BRANCA MANGA LONGA SECRETÁRIA	OUTROS
8801	PORTA FOLDER ACRÍLICO A3	OUTROS
8803	ANILHA P/ CABO ELÉTRICO N° 0	OUTROS
8804	ANILHA P/ CABO ELÉTRICO N° 1	OUTROS
8805	ANILHA P/ CABO ELÉTRICO N° 2	OUTROS
8806	ANILHA P/ CABO ELÉTRICO N° 3	OUTROS
8807	ANILHA P/ CABO ELÉTRICO N° 4	OUTROS
8808	ANILHA P/ CABO ELÉTRICO N° 5	OUTROS
8809	ANILHA P/ CABO ELÉTRICO N° 6	OUTROS
8810	ANILHA P/ CABO ELÉTRICO N° 7	OUTROS
8811	ANILHA P/ CABO ELÉTRICO N° 8	OUTROS
8812	ANILHA P/ CABO ELÉTRICO N° 9	OUTROS
8813	SIRENE ELETROMECANICA	OUTROS
8814	TAPETE ISOLANTE ELÉTRICO 50kv 1000 x 1000 x 6,4M	EPC
8820	ETIQUETA PAINEL NAMEPLATE 1(10)A	OUTROS
8830	LUVA ANTI-CORTE TAM M	EPI
8832	HD P/ NOTEBOOK 500GB	OUTROS
8844	CAPA DE LINE GUITON MODERNO	OUTROS
8846	ACOPLAMENTO NEWKON 2P+7 32A 200/250V 6H AZ N32	OUTROS
8847	TERMINAL PINO ISOLADO 4/6MM² AM TPP-6-12 (TPP-23)	OUTROS
8848	TERMINAL PINO C/ ISOL 16MM² AZ TPP-16-16	OUTROS
8849	HASTE DE ATERRAMENTO AC 5/8"X3M IH-1058AC	OUTROS
8850	GRAMPO ATERRAMENTO 5/8" TH-58	OUTROS
8851	CAIXA ATERR/INSP ABS PQ 252X230MM PT LMG 2446	OUTROS
8852	BUCHAS S-12	OUTROS
8853	PARAFUSO S-12	OUTROS
8855	ABRAÇADEIRA COPO 1" C-1	OUTROS
8856	DISJUNTOR MINI 3P 100A CURVA C 3KA SDD3C100	OUTROS
8857	DISJUNTOR MINI 3P 70A CURVA C 4,5KA SDD63C40	OUTROS
8858	DISJUNTOR MINI 3P 40A CURVA C 3KA SDD63C40	OUTROS
8859	DISJUNTOR MINI 2P 32A CURVA 3KA SDD62C32	OUTROS
8860	DISJUNTOR MINI 1P 20A CURVA C 3KA SDD61C20	OUTROS
8861	INTERRUPTOR DIFERENCIAL 2P 40A 30mA SDR24030	OUTROS
8862	QUADRO DE DISTRUIBUIÇÃO 16 DISJ REF.: 7033 GOMES	OUTROS
8864	HD SEAGATE BARRACUDA 1TB	OUTROS
8894	PLUGUE TOMADA MACHO 2P 180º BRANCO 10A/250V WEG	OUTROS
8897	JAQUETA ANTI-CHAMAS PADRÃO ENEL TAM. P	EPI
8898	JAQUETA ANTI-CHAMAS PADRÃO ENEL TAM. M	EPI
8899	JAQUETA ANTI-CHAMAS PADRÃO ENEL TAM. G	EPI
8900	JAQUETA ANTI-CHAMAS PADRÃO ENEL TAM. GG	EPI
8908	ROÇADEIRA A GASOLINA FS80 STHIL	FERRAMENTAL
8909	MOTO ESMERIL DE BANCADA 350W BIVOLT ME6 FERRARI	FERRAMENTAL
8910	PINO BANANA PB084 AMARELO	OUTROS
8911	PINO BANANA PB084 AZUL	OUTROS
8912	PINO BANANA PB084 PRETO	OUTROS
8917	FONTE DE ALIMENTAÇÃO ATX REAL BLUECASE 500W	OUTROS
8933	LEITOR SEM FIO ZEBRA DS227B IMAGER QR CODE 1D E 2D	OUTROS
8937	ADESIVO BRANCO FOSCO IMPRESSO 29X14CM C/CORTE RETO	OUTROS
8938	ADESIVO LOGO 3C 7X7CM 4/1 CORES C/CORTE DE FACA ESPECIAL	OUTROS
8950	CAMISA SOCIAL FEM. MANGA LONGA INDIGO TAM. M	OUTROS
8951	CAMISA SOCIAL FEM. MANGA LONGA INDIGO TAM. G	OUTROS
8956	GARRINHA JACARE 28MM PRETA	OUTROS
8960	LAMPADA MI 90 40ma 110V	OUTROS
9015	MOLA HIDRAULICA AEREA P/ PORTA ATÉ 1.100MM DORMA	OUTROS
9018	ROLO DE SACO PLASTICO 30X40	OUTROS
9021	CINTA BAP3 1200 C/PARAF.	FERRAMENTAL
9099	ADESIVO LIVRE PARADA 29,7 X 21 CM COM CORTE RETO	OUTROS
9105	DISJUNTOR CAIXA MOLDADA TRIP 150A 22/12/6KA	OUTROS
3562	PLACA ELETRÔNICA (P/FABRICAÇÃO DO DISPLAY CAM 127V)	OUTROS
3563	KIT ABAFADOR DE RUÍDOS	OUTROS
3687	CALÇA FUNCIONÁRIO BRIM BEGE TAM.G 46-49 CAM UNIF	OUTROS
3688	CALÇA P/SUPERVISOR TAM 52 UNIF	OUTROS
3689	CALÇA SUPERVISOR EM BRIM NA COR AZUL JEANS TAM 38	OUTROS
3690	CAMISA MALHA CINZA MESCLA 100% ALG."3C" TAM.G	OUTROS
3691	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.G-UNIF	OUTROS
3692	CAMISA AZUL P/SUPERVISOR TAM G UNIF	OUTROS
3693	ISOLADOR DE PORCELANA PINO MONOCORPO 15 KV N95/3  MARROM CLARO	OUTROS
3695	GUARDA PÓ EM BRIM LEVE BRANCA TAM.P UNIF	OUTROS
3696	JALECO CONFECCIONADO EM TECIDO CINZA TAM.P	OUTROS
3715	CHAVE FUSÍVEL 15kV/100A, C/SUPORTE, CARTUCHO CINZA	OUTROS
3720	ABRAÇADEIRA NYLON 203MM² PRETA DDT-1750 I.3	OUTROS
3721	ABRAÇADEIRA NYLON 390MM² DDT-1750 I4	OUTROS
3722	ACOPLADOR INDUTIVO  CODIFICADOR DE DADOS - PLC	OUTROS
3723	ISOLADOR DE PORCELANA CASTANHA 54-1-1	OUTROS
3724	ALÇA PREFORMADA AÇO 10MM² BIPOLAR CB /6MMAL - PM195813	OUTROS
3725	ISOLADOR DE PORCELANA ANSI 52-1 "VERSÃO OBSOLETA"	OUTROS
3726	ISOLADOR DE PORCELANA ROLDANA ANSI 53-2	OUTROS
3730	MEDIDOR ELETRÔNICO TRIFASICO MTSE01C 120V	OUTROS
3734	ARRUELA DE PRESSÃO P/ PARAFUSO M5	OUTROS
3737	MEDIDOR ELETRÔNICO MONOFASICO MEP03 240V	OUTROS
3738	MEDIDOR ELETRÔNICO MONOFASICO MEP01D-CE1 120V	OUTROS
3740	ARRUELA LISA 1/4" DE BORRACHA PARA VEDAÇÃO	OUTROS
3744	BARRA SUPERIOR DE FIXAÇAO DOS MODULOS DE METAL 484mmx50mm	OUTROS
3745	ETIQUETA ADESIVA IDENTIFICADORA N°0, PM-1862I1R3  - 6X9cm	OUTROS
3746	ETIQUETA ADESIVA IDENTIFICADORA N°1, PM-1862I2R3  - 6X9cm	OUTROS
3747	ETIQUETA ADESIVA IDENTIFICADORA N°2, PM-1862I3R3  - 6x9cm	OUTROS
3748	ETIQUETA ADESIVA IDENTIFICADORA N°3, PM-1862I4R3  - 6x9cm	OUTROS
3749	ETIQUETA ADESIVA IDENTIFICADORA N°4, PM-1862I5R3  - 6x9cm	OUTROS
3750	MEDIDOR ELETRÔNICO MONOFASICO MEP01D-CE2 240V	OUTROS
3751	ETIQUETA ADESIVA IDENTIFICADORA N°5, PM-1862I6R3  - 6X9cm	OUTROS
3752	ETIQUETA ADESIVA IDENTIFICADORA N°6, PM-1862I7R3  - 6X9cm	OUTROS
3753	ETIQUETA ADESIVA IDENTIFICADORA N°7, PM-1862I8R3  - 6X9cm	OUTROS
3754	ETIQUETA ADESIVA IDENTIFICADORA N°8,PM-1862I9R3   - 6X9cm	OUTROS
3756	ETIQUETA ADESIVA IDENTIFICADORA N°9,PM-1862I10R3 - 6X9cm	OUTROS
3757	MEDIDOR ELETRÔNICO MONOFASICO MEP01-CE2 240V	OUTROS
3758	PARA-RAIOS DISTRIBUIÇÃO 30kV-10kA C/SUPORTE L	OUTROS
3759	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA C/SUPORTE L	OUTROS
3760	PARA-RAIOS DISTRIBUIÇÃO 12kV-10kA S/ SUPORTE L – HENGDA	OUTROS
3761	SUPORTE L PADRÃO NEMA P/PARA-RAIOS	OUTROS
3762	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO RF 120 V-60 VERSÃO-0 OBSOLETA	OUTROS
3763	FITA ISOLANTE  MODELO 35+AMARELA 19MMX20M	OUTROS
3764	FITA ISOLANTE  MODELO 35+BRANCA 19MMX20M	OUTROS
3765	FITA ISOLANTE  MODELO 35+VERDE 19MMX20M	OUTROS
3766	BORRACHA DE APAGAR	ESCRITÓRIO
3767	FITA ISOLANTE  MODELO 35+VERMELHA 19MMX20M	OUTROS
3768	APONTADOR PARA LÁPIS	ESCRITÓRIO
3770	ETIQUETA ADESIVA DE IDENTIFICAÇÃO P/MÓDULO DE MEDIDA 485 120V-60 VERSÃO 01 (Obsoleta)	OUTROS
3772	BARRAMENTO DE NEUTRO 484MM X 9,5 X 9,5MM	OUTROS
3773	BARRAMENTO DE FASE C/ ISOLAMENTO	OUTROS
3774	BATOQUE 1/4 x M5	OUTROS
3775	BORNE SINDAL 25 MM² 	OUTROS
3776	BORNE SINDAL 6 MM²	OUTROS
3778	PRENSA-CABO 1"	OUTROS
3779	BUCHA PLÁSTICA S-8	OUTROS
3780	KIT CABO 485 12+2  (12 CONECTORES PARA O MÓDULO DE MEDIDA E + 02 CONECTORES P/ O MÓDULO DE CONTROLE)	OUTROS
3781	CONDUTOR CONCENTRICO ALUMINO BIPOLAR 10MM²	OUTROS
3783	CABO FLEXIVEL AUTO 1,5MM PRETO 750V	OUTROS
3784	CANETA MARCA TEXTO AMARELO	ESCRITÓRIO
3785	CANETA PARA RETROPOJETOR CD 0,5/2MM COR PRETO	ESCRITÓRIO
3786	CABO FLEXÍVEL PP 2 VIAS 2.5MM²	OUTROS
3787	CABO FLEXÍVEL PP 3 VIAS P/ACOPLAMENTO (CABO CONTROLE)	OUTROS
3788	CANETA PARA QUADRO BRANCO COR VERMELHO	ESCRITÓRIO
3789	CANETA PARA QUADRO BRANCO COR AZUL	ESCRITÓRIO
3790	CABO PRÉ-REUNIDO 0,6/1KV CU 3X16+16 -DED1797 I4	OUTROS
3791	ETIQUETA ADESIVA LOGO ENEL P/TAMPA DA CAIXA CONCENTRADOR 8,5X11CM	OUTROS
3792	CAIXA DAE -(CAIXA DE DERIVAÇÃO PADRÃO EM POLICARBONATO)	OUTROS
3793	CANETA ESFEROGRÁFICA COR PRETA PONTA MÉDIA 1MM	ESCRITÓRIO
3794	CANETA ESFEROGRÁFICA COR AZUL PONTA MÉDIA 1MM	ESCRITÓRIO
3795	CAIXA DO ACOPLADOR PRETA C/TAMPA 06CM X 3,3CM	OUTROS
3796	CANETA ESFEROGRAFICA COR VERMELHA PONTA MÉDIA 1MM	ESCRITÓRIO
3797	CAIXA MEDIDOR MONOFASICO EM POLICARBONATO, PM-1946 R4 E	OUTROS
3798	CD-R GRAVÁVEL 80MIN/700MB SEM CAPA	ESCRITÓRIO
3799	CAIXA P/CONCENTRADOR MODELO ENEL P/09 CLIENTES C/02 ENTRADAS NA LATERAL P/ALIMENTAÇAO V.ANTIGA	OUTROS
3800	PRENDEDOR P/ PAPEL TIPO GRAMPO 32MM (11/4")	ESCRITÓRIO
3801	CAIXA P/CONCENTRADOR MOD.ENEL VS.ATUAL C/12 FUROS, 02 ENTRADAS LATERAL	OUTROS
3802	TRENA 3MT 10' C/TRAVA	ESCRITÓRIO
3803	CAIXA P/CONCENTRADOR LANDIS GYR COMPOSTA DE FERRO	OUTROS
3804	CORRETIVO LIQUÍDO BASE' ÁGUA 18ML	ESCRITÓRIO
3805	LAPISEIRA TÉCNICA 0,7MM	ESCRITÓRIO
3806	ESTILETE LARGO	ESCRITÓRIO
3808	CLIPS Nº 2/0  CAIXA C/100 UNIDADES	ESCRITÓRIO
3809	CAIXA P/ INSTALAÇÃO DE TLI (CAIXA DISPLAY)	OUTROS
3810	CLIPS Nº 4/0  CAIXA COM 50 UNIDADES	ESCRITÓRIO
3811	CAIXA PLASTICA (COELCE)	OUTROS
3812	COLA BRANCA 40 GRAMAS	ESCRITÓRIO
3813	CAPA P/TERMINAL FEMEA TAM.7X5MM (CONEXÃO SWITCH)	OUTROS
3814	CAPACITOR 2,2uf X 400V	OUTROS
3815	DVD-GRAVÁVEL 4.7GB S/ CAPA	ESCRITÓRIO
3816	COLETOR DE DADOS  CCE16V3.0.27 - PSTN-/P  THINP 650 3x127/208V 60Hz	OUTROS
3817	COLETOR DE DADOS MODELO JDG02 VERSÃO 02 NOVA 3x120/208V 60Hz	OUTROS
3818	LÁPIS PRETO Nº02	ESCRITÓRIO
3819	RÉGUA PLÁSTICA TRANSPARENTE  30CM	ESCRITÓRIO
3828	CONECTOR PERFURANTE 25-95MM²	OUTROS
3829	CONECTOR PERFURANTE ISOLADO P/CABO 16-150/1,5,5-6MM²	OUTROS
3830	CONECTOR TERMINAL OLHAL 16MM²	OUTROS
3831	CONECTOR TERMINAL OLHAL ISOLADO 2,5MM,PM2219 I1	OUTROS
3832	CONECTOR TERMINAL P/ CONDUTOR CU, DDT-1761 I.2	OUTROS
3833	CONECTOR TERMINAL OLHAL 25MM	OUTROS
3837	EMENDA REUTILIZAVEL DOS CONDUTORES SIMPLES	OUTROS
3838	ETIQUETA ADESIVA "AVISO DE PERIGO DE MORTE"  160MMX220MM	OUTROS
3839	ETIQUETA ADESIVA LOGO CAM TAMANHO 15 X 4,3CM (VERSÃO OBSOLETA)	OUTROS
3841	TINTA PARA CARIMBO AZUL - 40ML	ESCRITÓRIO
3843	FITA DUPLA FACE 19MMX20M	OUTROS
3844	BLOCO DE RECADO AUTO ADESIVO 76MMX102MM	ESCRITÓRIO
3845	FITA ISOLANTE PVC 0.18 X 19MM X 20M NBR60454-3-1- PRETA	OUTROS
3846	FITA ISOLANTE ELÉTRICA AT-0,76MM-19MM X 10M (AUTO FUSÃO)	OUTROS
3847	KIT BORNEIRA	OUTROS
3850	CHAVE MICRO SWICTH KW11-7-2  3 TERMINAIS COR PRETA C/HASTE 27MM	OUTROS
3856	MODULO DE CONTROLE MODELO JDC02H - 127V/ 60Hz	OUTROS
3857	MODULO DE MEDIDA MODELO DDS03 AEB-127V 15(100)A 60Hz 1600imp CL.1	OUTROS
3860	MÓDULO DE MEDIDA MODELO MEP01-C/CR  120V 15(100)A  CL1.0 1600imp 60Hz	OUTROS
3862	PARAFUSO 3/8 "W x 2" COM PORCA, ARRUELA LISA E DE PRESSÃO (KIT)	OUTROS
3863	PARAFUSO AUTO-ATARRAXANTE FENDA ZINCADO 6,3X38MM	OUTROS
3865	PARAFUSO CABEÇA LIMAO C/FENDA FERRO  ZINCADO 3/16X1	OUTROS
3867	PARAFUSO FENDA 1/4" X 5/8"	OUTROS
3868	PARAFUSO FENDA M4 X 6MM	OUTROS
3869	PARAFUSO FENDA 1/4" X 1/2"	OUTROS
3870	CAIXA DO COLETOR	OUTROS
3871	PARAFUSO FENDA CABEÇA CILINDRICA - FERRO ZINCADO 6,3X6MM	OUTROS
3872	PARAFUSO FENDA CABEÇA PLANA 5,0 X 50MMP/BUCHA S8	OUTROS
3873	PARAFUSO FENDA M3 X 20MM	OUTROS
3874	PARAFUSO M5 X 10 MM FENDA INOX (CABEÇA MAXIMO 6 MM)	OUTROS
3875	PARAFUSO M5 X 20MM FENDA INOX	OUTROS
3881	PARAFUSO M5 X 15MM FENDA INOX	OUTROS
3886	FITA DE ANCORAGEM REVESTIDA, DE 55CM	EPC
3887	PARAFUSO CABEÇA SEXTAVADA EXTERNO M5 x 10MM	OUTROS
3888	PLACA DE PVC PARA FIXAÇÃO (CONCENTRADOR PRIMÁRIO)	OUTROS
3889	PLACA ELETRÔNICA DE DISPLAY (TLI) CAM 127V	OUTROS
3890	PLACA ELETRÔNICA PARA MODULO  RF (RC 915-P) 127V	OUTROS
3891	LÂMINA P/ ESTILETE LARGO EMBALAGEM C/ 10 UNIDADES	ESCRITÓRIO
3892	PLUG 485 DE CONTROLE	OUTROS
3893	PLUG 485 DE RF	OUTROS
3894	GRAMPO P/GRAMPEADOR 26/06 CX C/1000 UNIDADES	ESCRITÓRIO
3895	PORCA DE 1/4"	OUTROS
3896	SUPORTE P/ DUREX MÉDIO 12X33	ESCRITÓRIO
3897	PORCA M3 - SWITCH	OUTROS
3898	PORCA M5	OUTROS
3899	PORCA SEXTAVADA FERRO ZINCADO DE 3/16"	OUTROS
3900	PRENSA-CABO ROSQUEADO P/CABO 13-18MM REF.PM-1749 I2	OUTROS
3903	REGUA FIXAÇÃO C/PARAFUSO FURO P/ LACRE E SUPORTE SWITCH	OUTROS
3904	RÉGUA SUPORTE DE BORNES EM PVC 484MM X 4	OUTROS
3905	CORDA DE LINHA VIVA 12MM  ROLO C/25 METROS	OUTROS
3907	SUPORTE PARA MACROMEDIÇÃO	OUTROS
3908	SUPORTE PROLONGADOR P/CONCENTRADOR  (CHAPA U)	OUTROS
3909	SUPORTE PARA FIXAÇÃO DOS MODULOS CONTROLE	OUTROS
3910	SUPORTE PARA FIXAÇÃO DOS MODULOS MEDIDA	OUTROS
3911	SUPORTE PARA FIXAÇÃO DOS MÓDULOS RF	OUTROS
3916	TERMINAL FEMEA, 7 x 5MM (CONEXÃO SWITCH)	OUTROS
3917	TOMADA SIMPLES FEMEA	OUTROS
3918	TOMADA SOBREPOR 2P UNIVERSAL REDONDA	OUTROS
3920	TUBO TERMORETRATIL P/ CABO 2MM	OUTROS
