PRODUTO	Endereço	Material	Texto breve material	Unidade de medida	 Saldo do sistema 	1ª CONT.	2ª CONT.	3ª CONT.	Posição final Inventariada	Diferença	Custo MÉDIO unitário (base out.) 	Diferença em R$	Total em R$						
3	L-02	8149	CABO DE REDE 10 METROS	UND  	2	2			2	0	 R$ 21,70 	 R$ -   	 R$ 43,40 	L-028149			 43,40   		
3	L-03	7996	"CAMISA MALHA AZUL MESCLA 100% ALG.""3C"" TAM.M"	UND  	1	1			1	0	 R$ 21,00 	 R$ -   	 R$ 21,00 	L-037996			 21,00   		
3	L-03	8111	CABO HDMI COM 10 METROS	UND  	5	5			5	0	 R$ 49,26 	 R$ -   	 R$ 246,30 	L-038111			 246,30   		
3	L-04	8016	CAMISA POLO VERDE DEGRADE TÉC. SEG M	UND  	10	10			10	0	 R$ 44,00 	 R$ -   	 R$ 440,00 	L-048016			 440,00   		
3	L-04	8019	CAMISA SOCIAL DE MANGA CURTA PORTARIA M	UND  	2	2			2	0	 R$ 54,20 	 R$ -   	 R$ 108,40 	L-048019			 108,40   		
3	L-04	8020	CAMISA SOCIAL DE MANGA CURTA PORTARIA G	UND  	4	14	4		4	0	 R$ 54,20 	 R$ -   	 R$ 216,80 	L-048020			 216,80   		
3	L-06	5184	DETECTOR DE TENSÃO POR CONTATO - MT / BT - 50V A 90KV	UND  	2	2			2	0	 R$ 380,00 	 R$ -   	 R$ 760,00 	L-065184			 760,00   		
3	L-06	5930	SAPATA PARA ESCADA	UND  	2	4	2		2	0	 R$ 24,75 	 R$ -   	 R$ 49,50 	L-065930			 49,50   		
3	L-06	7912	SAPATA PARA ESCADA SINGELA	UND  	17	34	17		17	0	 R$ 24,75 	 R$ -   	 R$ 420,75 	L-067912			 420,75   		
3	L-06	8143	CABO COM 1,82 METROS SEL-C662	UND  	1	1			1	0	 R$ 374,22 	 R$ -   	 R$ 374,22 	L-068143			 374,22   		
3	M-01	7983	BIT FENDA SL6 LONGO 100MM 2 PONTAS 111-0036 MAKITA	UND  	2	2			2	0	 R$ 35,00 	 R$ -   	 R$ 70,00 	M-017983			 70,00   		
3	M-01	7984	BIT PHILLIPS PH2 LONGO 100MM 11-0024 MAKITA	UND  	2	1	2		2	0	 R$ 36,00 	 R$ -   	 R$ 72,00 	M-017984			 72,00   		
3	M-01	7985	BIT ALLEN 4MM LONGO 100MM COM 2 PONTAS 111-0030	UND  	2	1	2		2	0	 R$ 30,00 	 R$ -   	 R$ 60,00 	M-017985			 60,00   		
3	M-02	7885	"ADESIVO ""EMERGÊNCIA"" FORMATO 80X20 CM"	UND  	10	10			10	0	 R$ 11,60 	 R$ -   	 R$ 116,00 	M-027885			 116,00   		
3	M-03	7883	KIT FROTA NOVO C/ LOGO ENEL C/ 4 ADESIVOS	KIT	26	26			26	0	 R$ 30,00 	 R$ -   	 R$ 780,00 	M-037883			 780,00   		
3	M-03	9099	ADESIVO LIVRE PARADA 29,7 X 21 CM COM CORTE RETO	UND  	15	15			15	0	 R$ 4,67 	 R$ -   	 R$ 70,05 	M-039099			 70,05   		
3	M-04	3997	PASTA SUSPENSA MARMORIZADA CASTANHA	UND  	162	162			162	0	 R$ 117,49 	 R$ -   	 R$ 19.033,38 	M-043997			 19.033,38   		
3	M-04	6554	PASTILHA DE HIPOCLORITO DE CÁLCIO A 40%	UND  	25	5	25		25	0	 R$ 1,58 	 R$ -   	 R$ 39,50 	M-046554			 39,50   		
3	M-05	7731	ALICATE CORTA CABO DE AÇO 7.1/2''	UND  	4	4			4	0	 R$ 49,00 	 R$ -   	 R$ 196,00 	M-057731			 196,00   		
3	M-05	7734	ALICATE CRIMPAR RJ45	UND  	3	3			3	0	 R$ 55,00 	 R$ -   	 R$ 165,00 	M-057734			 165,00   		
3	M-05	7735	ALICATE PRENSA TERMINAL PARA FIOS E CABOS	UND  	1	1			1	0	 R$ 22,00 	 R$ -   	 R$ 22,00 	M-057735			 22,00   		
3	M-06	6619	CINTA DE BORRACHA EXTENSÍVEL	UND  	8	8			8	0	 R$ 24,75 	 R$ -   	 R$ 198,00 	M-066619			 198,00   		
3	M-06	6620	CINTA DE BORRACHA SINGELA	UND  	19	19			19	0	 R$ 24,75 	 R$ -   	 R$ 470,25 	M-066620			 470,25   		
3	N-01	8524	ETIQUETA PIMACO INKJET + LASER - PAPEL CARTA 6282	UND  	2	2			2	0	 R$ 20,40 	 R$ -   	 R$ 40,80 	N-018524			 40,80   		
3	N-02	5444	CABO VGA X VGA 3M	UND  	4	4			4	0	 R$ 9,90 	 R$ -   	 R$ 39,60 	N-025444			 39,60   		
3	N-02	6555	ADESIVO P/ CESTO AÉREO FORMATO 45X64CM	UND  	10	10			10	0	 R$ 24,91 	 R$ -   	 R$ 249,10 	N-026555			 249,10   		
3	N-03	7351	CABO USB SERIAL TRENDNET TU-S9	UND  	11	11			11	0	 R$ 134,00 	 R$ -   	 R$ 1.474,00 	N-037351			 1.474,00   		
3	N-03	7517	ESCALA RINGELMANN	UND  	3	3			3	0	 R$ 20,00 	 R$ -   	 R$ 60,00 	N-037517			 60,00   		
3	N-03	8181	BATERIA NOT HP PAVILION 14 (14.8v 41Wh 2580mAh)	UND  	1	1			1	0	 R$ 225,00 	 R$ -   	 R$ 225,00 	N-038181			 225,00   		
3	N-05	6461	RECIBO PAG. LAB 02 2VIAS C/ BLOQ. C/ 2000	CAIXA	1	1			1	0	 R$ 1,35 	 R$ -   	 R$ 1,35 	N-056461			 1,35   		
3	N-05	7726	TONNER IMPRESSORA SENDUNG EXPRESS M2020W	UND  	1	1			1	0	 R$ 99,88 	 R$ -   	 R$ 99,88 	N-057726			 99,88   		
3	N-06	4585	PORTA FOLDER ACRÍLICO C/BOLSA NO FORMATO A3 ESPESSURA 3MM	UND  	4	4			4	0	 R$ 59,90 	 R$ -   	 R$ 239,60 	N-064585			 239,60   		
3	N-06	7630	EXPOSITOR A4 CRISTAL	UND  	20	20			20	0	 R$ 7,52 	 R$ -   	 R$ 150,40 	N-067630			 150,40   		
3	N-06	7631	EXPOSITOR A3 CRISTAL	UND  	10	10			10	0	 R$ 12,43 	 R$ -   	 R$ 124,30 	N-067631			 124,30   		
3	O-01	8009	CAMISA POLO FEMININA ADM TAM.XG	UND  	6	6			6	0	 R$ 43,00 	 R$ -   	 R$ 258,00 	O-018009			 258,00   		
3	O-01	8013	CAMISA POLO MASCULINA ADM TAM.GG	UND  	20	20			20	0	 R$ 40,00 	 R$ -   	 R$ 800,00 	O-018013			 800,00   		
3	O-02	8007	CAMISA POLO FEMININA ADM TAM.G	UND  	59	59			59	0	 R$ 44,00 	 R$ -   	 R$ 2.596,00 	O-028007			 2.596,00   		
3	O-02	8008	CAMISA POLO FEMININA ADM TAM.GG	UND  	30	30			30	0	 R$ 43,00 	 R$ -   	 R$ 1.290,00 	O-028008			 1.290,00   		
3	O-02	8018	CAMISA POLO VERDE DEGRADE TEC. SEG GG	UND  	5	5			5	0	 R$ 55,00 	 R$ -   	 R$ 275,00 	O-028018			 275,00   		
3	O-03	3970	TELEFONE GIGASET DA 100 SIEMENS	UND  	2	2			2	0	 R$ 69,00 	 R$ -   	 R$ 138,00 	O-033970			 138,00   		
3	O-03	4933	"CHAVE GRIFO TAM.14"""	UND  	23	23			23	0	 R$ 29,70 	 R$ -   	 R$ 683,10 	O-034933			 683,10   		
3	O-04	8012	CAMISA POLO MASCULINA ADM TAM.G	UND  	45	45			45	0	 R$ 40,00 	 R$ -   	 R$ 1.800,00 	O-048012			 1.800,00   		
3	O-04	8014	CAMISA POLO MASCULINA ADM TAM.XG	UND  	8	8			8	0	 R$ 40,00 	 R$ -   	 R$ 320,00 	O-048014			 320,00   		
3	O-05	7610	CONVERSOR DE HDMI PARA VGA	UND  	4	4			4	0	 R$ 32,00 	 R$ -   	 R$ 128,00 	O-057610			 128,00   		
3	O-05	8041	CABO UTP CAT 5E BLINDADO - 10 METROS	UND  	3	3			3	0	 R$ 79,90 	 R$ -   	 R$ 239,70 	O-058041			 239,70   		
3	O-05	8102	BUSSOLA PARABÓLICA DE MÃO	UND  	2	2			2	0	 R$ 414,00 	 R$ -   	 R$ 828,00 	O-058102			 828,00   		
3	O-06	4010	APOIO PARA TECLADO ERGONÔMICO PRETO	UND  	5	5			5	0	 R$ 95,00 	 R$ -   	 R$ 475,00 	O-064010			 475,00   		
3	P-01	8005	CAMISA POLO FEMININA ADM TAM. P	UND  	65	65			65	0	 R$ 43,00 	 R$ -   	 R$ 2.795,00 	P-018005			 2.795,00   		
3	P-02	8006	CAMISA POLO FEMININA ADM TAM. M	UND  	72	72			72	0	 R$ 43,00 	 R$ -   	 R$ 3.096,00 	P-028006			 3.096,00   		
3	P-03	8015	CAMISA POLO MASCULINA ADM TAM.XXG	UND  	2	2			2	0	 R$ 40,00 	 R$ -   	 R$ 80,00 	P-038015			 80,00   		
3	P-04	7997	CAMISA MALHA AZUL MESCLA 100% ALG.''3C'' TAM. P	UND  	22	22			22	0	 R$ 21,00 	 R$ -   	 R$ 462,00 	P-047997			 462,00   		
3	P-05	8010	CAMISA POLO MASCULINA ADM TAM. P	UND  	16	16			16	0	 R$ 40,00 	 R$ -   	 R$ 640,00 	P-058010			 640,00   		
3	P-05	8011	CAMISA POLO MASCULINA ADM TAM. M	UND  	37	37			37	0	 R$ 40,00 	 R$ -   	 R$ 1.480,00 	P-058011			 1.480,00   		
3	P-06	7055	APOIO ERGONÔMICO P/ OS PÉS C/ REGULAGEM-PRETO	UND  	2	2			2	0	 R$ 50,00 	 R$ -   	 R$ 100,00 	P-067055			 100,00   		
3	Q-02	6119	TESOURA PARA CHAPA STANLEY	UND  	1	1			1	0	 R$ 69,80 	 R$ -   	 R$ 69,80 	Q-026119			 69,80   		
3	Q-04	7434	ALCOOL ETÍLICO EM GEL DE 54% 500G	UND  	13	13			13	0	 R$ 5,27 	 R$ -   	 R$ 68,51 	Q-047434			 68,51   		
3	Q-04	9346	ALICATE CORTA CABOS 7.1/2 AÇO FORJADO PLAST. VONDER	UND  	1	1			1	0	 R$ 172,22 	 R$ -   	 R$ 172,22 	Q-049346			 172,22   		
3	Q-05	8467	FITA DEMARCACAO DE SOLO 48MMX30MT - VERMELHA	UND  	6	6			6	0	 R$ 20,12 	 R$ -   	 R$ 120,72 	Q-058467			 120,72   		
3	Q-05	8468	FITA DEMARCACAO DE SOLO 48MMX30MT - AMARELA	UND  	2	2			2	0	 R$ 20,12 	 R$ -   	 R$ 40,24 	Q-058468			 40,24   		
3	Q-06	4002	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 10	PAR  	50	50			50	0	 R$ 3,55 	 R$ -   	 R$ 177,50 	Q-064002			 177,50   		
3	R-01	3604	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI	UND  	74	74			74	0	 R$ 24,00 	 R$ -   	 R$ 1.776,00 	R-013604			 1.776,00   		
3	R-02	3591	ALICATE DE BICO C/CABO ISOLADO 1KV TAMANHO 06	UND  	31	31			31	0	 R$ 30,00 	 R$ -   	 R$ 930,00 	R-023591			 930,00   		
3	R-02	8830	LUVA ANTI-CORTE TAM M	UND  	26	26			26	0	 R$ 18,52 	 R$ -   	 R$ 481,52 	R-028830			 481,52   		
3	R-03	6179	LUVA ANTI-CORTE MAPA 557 - TAMANHO XG	PAR  	57	57			57	0	 R$ 18,50 	 R$ -   	 R$ 1.054,50 	R-036179			 1.054,50   		
3	R-04	3582	"ALICATE CORTE C/CABO ISOLADO 1KV 6"""	UND  	37	37			37	0	 R$ 30,00 	 R$ -   	 R$ 1.110,00 	R-043582			 1.110,00   		
3	R-04	3616	"ALICATE UNIVERSAL C/CABO ISOLADO 1KV 8"""	UND  	25	25			25	0	 R$ 35,00 	 R$ -   	 R$ 875,00 	R-043616			 875,00   		
3	R-04	5539	ETIQUETA TRANS CAM BRASIL 1723001	UND  	1296	1.296			1296	0	 R$ 1,71 	 R$ -   	 R$ 2.215,51 	R-045539			 2.215,51   		
3	R-05	7333	ENVELOPE OFÍCIO 114X229 S/RPC C/ 1000 UNID	UND  	12	12			12	0	 R$ 52,50 	 R$ -   	 R$ 630,00 	R-057333			 630,00   		
3	R-05	8170	SUPORTE P/ PAPEL HIGIENICO - ROLAO	UND  	4	4			4	0	 R$ 17,58 	 R$ -   	 R$ 70,32 	R-058170			 70,32   		
3	S-01	3662	"FURADEIRA ELÉTRICA IMPACTO 1/2"" MODELO.GSB13 220V"	UND  	4	4			4	0	 R$ 327,90 	 R$ -   	 R$ 1.311,60 	S-013662			 1.311,60   		
3	S-01	3670	MARRETA DE AÇO C/CABO DE 1KG	UND  	35	35			35	0	 R$ 19,04 	 R$ -   	 R$ 666,40 	S-013670			 666,40   		
3	S-01	5000	"TALHADEIRA DE AÇO DE 19MMX300MM - 12"""	UND  	8	8			8	0	 R$ 9,74 	 R$ -   	 R$ 77,92 	S-015000			 77,92   		
3	S-01	5001	"TALHADEIRA DE AÇO DE 16"""	UND  	12	12			12	0	 R$ 37,50 	 R$ -   	 R$ 450,00 	S-015001			 450,00   		
3	S-02	3640	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8""X6"""	UND  	8	8			8	0	 R$ 9,15 	 R$ -   	 R$ 73,20 	S-023640			 73,20   		
3	S-02	3641	"CHAVE FENDA C/ISOLAMENTO 1KV DE 5/16""X6  8X150MM"	UND  	38	38			38	0	 R$ 20,60 	 R$ -   	 R$ 782,80 	S-023641			 782,80   		
3	S-02	3644	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/4""X6"""	UND  	49	49			49	0	 R$ 16,09 	 R$ -   	 R$ 788,41 	S-023644			 788,41   		
3	S-02	5499	CHAVE DE FENDA N° 8 COM HASTE ISOLADA 1/8''x3.1/8''	UND  	2	2			2	0	 R$ 7,94 	 R$ -   	 R$ 15,88 	S-025499			 15,88   		
3	S-03	3655	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/4""X6"""	UND  	16	16			16	0	 R$ 14,80 	 R$ -   	 R$ 236,80 	S-033655			 236,80   		
3	S-03	3656	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 5/16""X6"""	UND  	9	9			9	0	 R$ 15,26 	 R$ -   	 R$ 137,34 	S-033656			 137,34   		
3	S-03	4271	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8""X6"""	UND  	9	9			9	0	 R$ 10,30 	 R$ -   	 R$ 92,70 	S-034271			 92,70   		
3	S-04	3638	CHAVE FENDA C/HASTE ISOLAMENTO 1KV 3/16 X 6	UND  	9	9			9	0	 R$ 9,99 	 R$ -   	 R$ 89,91 	S-043638			 89,91   		
3	S-04	5204	DETECTOR DE TENSÃO POR APROXIMAÇÃO - TIPO CANETA - 50 A 1.000 V	UND  	3	3			3	0	 R$ 56,00 	 R$ -   	 R$ 168,00 	S-045204			 168,00   		
3	S-04	5498	CHAVE DE FENDA N° 10 COM HASTE ISOLADA  - 1/4x4''	UND  	20	20			20	0	 R$ 14,79 	 R$ -   	 R$ 295,80 	S-045498			 295,80   		
3	S-04	8104	CHAVE COMBINADA CATRACA 9mm	UND  	5	5			5	0	 R$ 84,05 	 R$ -   	 R$ 420,25 	S-048104			 420,25   		
3	S-05	3634	CADEADO DE LATÃO, TAMANHO 25 MM	UND  	48	48			48	0	 R$ 9,70 	 R$ -   	 R$ 465,60 	S-053634			 465,60   		
3	S-05	3635	CADEADO DE LATÃO, TAMANHO 20 MM	UND  	11	11			11	0	 R$ 8,75 	 R$ -   	 R$ 96,25 	S-053635			 96,25   		
3	S-05	3649	"CHAVE FENDA S/ISOL TAM 3/16X4"" 100X5MM"	UND  	4	4			4	0	 R$ 4,55 	 R$ -   	 R$ 18,20 	S-053649			 18,20   		
3	S-05	4368	CADEADO DE LATÃO TIPO E-50 - PAPAIZ	UND  	7	7			7	0	 R$ 31,95 	 R$ -   	 R$ 223,65 	S-054368			 223,65   		
3	S-05	6788	CHAVE TORX ISOLADA 1KV T15	UND  	2	2			2	0	 R$ 14,50 	 R$ -   	 R$ 29,00 	S-056788			 29,00   		
3	S-06	4206	TRENA EM FIBRA DE VIDRO 50 MTS	UND  	11	11			11	0	 R$ 38,00 	 R$ -   	 R$ 418,00 	S-064206			 418,00   		
3	S-06	4765	FAROLETE MANUAL DE LONGO ALCANCE C/CABO DE 2METROS (SEALED BEAN)	UND  	14	14			14	0	 R$ 108,46 	 R$ -   	 R$ 1.518,44 	S-064765			 1.518,44   		
3	T-01	3663	LAMINA SERRA ACO RAPIDO 1/2 X12 18 DENTE	UND  	16	16			16	0	 R$ 7,92 	 R$ -   	 R$ 126,72 	T-013663			 126,72   		
3	T-01	3669	MARRETA DE AÇO C/CABO DE 2KG	UND  	19	19			19	0	 R$ 30,00 	 R$ -   	 R$ 570,00 	T-013669			 570,00   		
3	T-01	4169	LAMINA DE SERRA MANUAL 12'' 24 DENTES	UND  	11	11			11	0	 R$ 7,25 	 R$ -   	 R$ 79,75 	T-014169			 79,75   		
3	T-01	7396	DESCENSOR AUTO BLOCANTE P/CORDA	UND  	18	18			18	0	 R$ 892,00 	 R$ -   	 R$ 16.056,00 	T-017396			 16.056,00   		
3	T-02	3646	CHAVE DE TESTE, TIPO NEON	UND  	3	3			3	0	 R$ 5,00 	 R$ -   	 R$ 15,00 	T-023646			 15,00   		
3	T-02	3650	CHAVE FENDA S/ISOL TAM 5/16X8 200X8MM	UND  	58	58			58	0	 R$ 7,80 	 R$ -   	 R$ 452,40 	T-023650			 452,40   		
3	T-02	3679	PUNÇÃO DE AÇO DE 6 X 150 MM	UND  	31	31			31	0	 R$ 6,20 	 R$ -   	 R$ 192,20 	T-023679			 192,20   		
3	T-02	4588	PUNÇÃO DE AÇO ISOLADA 6X150MM	UND  	9	9			9	0	 R$ 7,20 	 R$ -   	 R$ 64,80 	T-024588			 64,80   		
3	T-02	6587	ALICATE BOMBA D'ÁGUA P/ TERMINAL ADP CB CONC.	UND  	5	5			5	0	 R$ 96,80 	 R$ -   	 R$ 484,00 	T-026587			 484,00   		
3	T-03	3653	CHAVE INGLESA C/CABO ISOLADO P/1KV ''12''	UND  	44	44			44	0	 R$ 78,60 	 R$ -   	 R$ 3.458,40 	T-033653			 3.458,40   		
3	T-03	3659	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 8MM	UND  	25	25			25	0	 R$ 33,00 	 R$ -   	 R$ 825,00 	T-033659			 825,00   		
3	T-03	3682	"SOQUETE SEXTAVADO DE 13MM, C/ ENCAIXE DE 1/2"""	UND  	8	8			8	0	 R$ 21,15 	 R$ -   	 R$ 169,20 	T-033682			 169,20   		
3	T-03	4270	"CHAVE PHILLIPS C/HASTE ISOLADA 1KV 5/16""X10"""	UND  	71	71			71	0	 R$ 10,20 	 R$ -   	 R$ 724,20 	T-034270			 724,20   		
3	T-03	4663	SOQUETE 13 MM P/CHAVE CATRACA	UND  	47	47			47	0	 R$ 15,58 	 R$ -   	 R$ 732,26 	T-034663			 732,26   		
3	T-04	3578	ALICATE BOMBA D'AGUA 12' COM ISOLAMENTO	UND  	35	35			35	0	 R$ 74,00 	 R$ -   	 R$ 2.590,00 	T-043578			 2.590,00   		
3	T-04	3652	CHAVE INGLESA C/CABO ISOLADO  P/1KV ''8''	UND  	6	6			6	0	 R$ 52,50 	 R$ -   	 R$ 315,00 	T-043652			 315,00   		
3	T-04	4369	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 10MM	UND  	12	12			12	0	 R$ 38,00 	 R$ -   	 R$ 456,00 	T-044369			 456,00   		
3	T-05	3615	ALICATE PRENSA TERMINAL MANUAL  P/CABO ATÉ 6MM	UND  	1	1			1	0	 R$ 227,26 	 R$ -   	 R$ 227,26 	T-053615			 227,26   		
3	T-05	3639	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 17 MM	UND  	25	25			25	0	 R$ 4,99 	 R$ -   	 R$ 124,75 	T-053639			 124,75   		
3	T-05	3657	"CHAVE PHILLIPS COTOCO S/ISOLAMENTO 1/8""X1.1/2"""	UND  	2	2			2	0	 R$ 4,55 	 R$ -   	 R$ 9,10 	T-053657			 9,10   		
3	T-05	3658	"CHAVE PHILLIPS COTOCO S/ISOLAMENTO 3/16""X1.1/2"""	UND  	2	2			2	0	 R$ 4,77 	 R$ -   	 R$ 9,54 	T-053658			 9,54   		
3	T-05	3660	"CHAVE TIPO CANHÃO 8 MM (5/16"")"	UND  	11	11			11	0	 R$ 17,00 	 R$ -   	 R$ 187,00 	T-053660			 187,00   		
3	T-05	3944	CHAVE COMBINADA DE BOCA E ESTRIA 11MM	UND  	19	19			19	0	 R$ 5,50 	 R$ -   	 R$ 104,50 	T-053944			 104,50   		
3	T-05	4888	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 7MM	UND  	7	7			7	0	 R$ 4,60 	 R$ -   	 R$ 32,20 	T-054888			 32,20   		
3	T-05	7572	ALICATE Y-10-22 MANUAL MECÂNICO	UND  	2	2			2	0	 R$ 146,80 	 R$ -   	 R$ 293,60 	T-057572			 293,60   		
3	T-06	4660	FERRO DE SOLDA HIK PLUS 110V	UND  	4	4			4	0	 R$ 37,32 	 R$ -   	 R$ 149,28 	T-064660			 149,28   		
3	T-06	5511	CHAVE FACA RETA ISOLADA 1000V	UND  	5	5			5	0	 R$ 56,64 	 R$ -   	 R$ 283,20 	T-065511			 283,20   		
3	T-06	7396	DESCENSOR AUTO BLOCANTE P/CORDA	UND  	1	1			1	0	 R$ 892,00 	 R$ -   	 R$ 892,00 	T-067396			 892,00   		
3	T-06	8106	CHAVE COMBINADA CATRACA 11mm	UND  	2	2			2	0	 R$ 89,84 	 R$ -   	 R$ 179,68 	T-068106			 179,68   		
3	T-06	8107	CHAVE COMBINADA CATRACA 15mm	UND  	5	5			5	0	 R$ 121,58 	 R$ -   	 R$ 607,90 	T-068107			 607,90   		
1	A-06-01-1A	3597	CARNEIRA AJUSTÁVEL COM JUGULAR P/ CAPACETE-EPI	UND  	35	35			35	0	 R$ 24,90 	 R$ -   	 R$ 871,50 	A-06-01-1A3597			 871,50   		
1	A-06-01-1A	6248	CAPACETE SEGURANÇA ABA FRONTAL 38MM MSA COR VERDE SEM LOGO	UND  	4	4			4	0	 R$ 27,99 	 R$ -   	 R$ 111,96 	A-06-01-1A6248			 111,96   		
1	A-06-01-2A	4824	FITA POLIESTER P/EMBALAGEM 16MM X 0.8MM	UND  	12	12			12	0	 R$ 62,00 	 R$ -   	 R$ 744,00 	A-06-01-2A4824			 744,00   		
1	A-06-01-3A	4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	20	20			20	0	 R$ 2.705,37 	 R$ -   	 R$ 54.107,40 	A-06-01-3A4196			 54.107,40   		
1	A-06-02-1A	4263	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 39-EPI	PAR  	49	49			49	0	 R$ 65,60 	 R$ -   	 R$ 3.214,40 	A-06-02-1A4263			 3.214,40   		
1	A-06-02-1A	4264	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 38-EPI	PAR  	6	6			6	0	 R$ 69,00 	 R$ -   	 R$ 414,00 	A-06-02-1A4264			 414,00   		
1	A-06-02-1B	4261	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 41-EPI	PAR  	7	7			7	0	 R$ 65,60 	 R$ -   	 R$ 459,20 	A-06-02-1B4261			 459,20   		
1	A-06-02-2A	4856	ETIQUETA ADESIVA COUCHÊ 100X80 - COR BRANCA	UND  	424	424			424	0	 R$ 48,58 	 R$ -   	 R$ 20.597,92 	A-06-02-2A4856			 20.597,92   		
1	A-06-02-2B	3972	FITA PET P/EMBALAGEM 19MM X 1.10MM X 910M VIRGEM	UND  	20	20			20	0	 R$ 59,00 	 R$ -   	 R$ 1.180,00 	A-06-02-2B3972			 1.180,00   		
1	A-06-02-3A	4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	20	20			20	0	 R$ 2.705,37 	 R$ -   	 R$ 54.107,40 	A-06-02-3A4196			 54.107,40   		
1	A-06-02-3B	4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	20	20			20	0	 R$ 2.705,37 	 R$ -   	 R$ 54.107,40 	A-06-02-3B4196			 54.107,40   		
1	A-06-03-1A	7064	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 47-EPI	PAR  	1	1			1	0	 R$ 62,50 	 R$ -   	 R$ 62,50 	A-06-03-1A7064			 62,50   		
1	A-06-03-1B	4003	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 46-EPI	PAR  	1	1			1	0	 R$ 69,00 	 R$ -   	 R$ 69,00 	A-06-03-1B4003			 69,00   		
1	A-06-03-1B	4485	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	8	8			8	0	 R$ 130,00 	 R$ -   	 R$ 1.040,00 	A-06-03-1B4485			 1.040,00   		
1	A-06-03-1B	6532	COPO PLÁSTICO PP DESCARTÁVEL 80ML (COM 2500)	CAIXA	4	4			4	0	 R$ 78,93 	 R$ -   	 R$ 315,72 	A-06-03-1B6532			 315,72   		
1	A-06-03-2A	3857	MODULO DE MEDIDA MODELO DDS03 AEB-127V 15(100)A 60Hz 1600imp CL.1	UND  	560	560			560	0	 R$ 110,66 	 R$ -   	 R$ 61.969,60 	A-06-03-2A3857			 61.969,60   		
1	A-06-03-2B	3856	MODULO DE CONTROLE MODELO JDC02H - 127V/ 60Hz	UND  	320	320			320	0	 R$ 147,81 	 R$ -   	 R$ 47.299,20 	A-06-03-2B3856			 47.299,20   		
1	A-06-03-3A	4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	20	20			20	0	 R$ 2.705,37 	 R$ -   	 R$ 54.107,40 	A-06-03-3A4196			 54.107,40   		
1	A-06-03-3B	4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	20	20			20	0	 R$ 2.705,37 	 R$ -   	 R$ 54.107,40 	A-06-03-3B4196			 54.107,40   		
1	A-06-04-1A	4262	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 40-EPI	PAR  	66	59	66		66	0	 R$ 65,60 	 R$ -   	 R$ 4.329,60 	A-06-04-1A4262			 4.329,60   		
1	A-06-04-1A	4484	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	34	34			34	0	 R$ 145,00 	 R$ -   	 R$ 4.930,00 	A-06-04-1A4484			 4.930,00   		
1	A-06-04-1B	3761	SUPORTE L PADRÃO NEMA P/PARA-RAIOS	UND  	147	147			147	0	 R$ 7,30 	 R$ -   	 R$ 1.073,10 	A-06-04-1B3761			 1.073,10   		
1	A-06-04-2A	3961	LAMPADA FLUORESCENTE 40W	UND  	26	26			26	0	 R$ 5,23 	 R$ -   	 R$ 135,98 	A-06-04-2A3961			 135,98   		
1	A-06-04-2A	4784	LÂMPADA DICRÓICA 50W - 220V	UND  	50	50			50	0	 R$ 3,11 	 R$ -   	 R$ 155,50 	A-06-04-2A4784			 155,50   		
1	A-06-04-2A	4962	LAMPADA FLUORESCENTE 20W	UND  	8	8			8	0	 R$ 2,67 	 R$ -   	 R$ 21,36 	A-06-04-2A4962			 21,36   		
1	A-06-04-2A	7739	LÂMPADA LED TUBULAR 20W 6500K 1,20MT	UND  	42	42			42	0	 R$ 17,47 	 R$ -   	 R$ 733,74 	A-06-04-2A7739			 733,74   		
1	A-06-04-2B	3775	BORNE SINDAL 25 MM² 	UND  	12872	12.904	12.872		12872	0	 R$ 3,78 	 R$ -   	 R$ 48.656,16 	A-06-04-2B3775			 48.656,16   		
