Material,Texto breve material,Unid.medida básica,Val.utiliz.livre
10002882,"CONECTOR BASE 3"" A ISOLADOR 4 FUROS 3""",PEÇ,148.72
10002941,SILICA GEL LARANJA,KG,5021.67
10002971,"ELETRODUTO FLEXIVEL ESP AC 2""",M,735.11
10002981,"CONECTOR T AL  P/ TUB.3""  E 1-1/2""",PEÇ,4682.76
10002983,"CONECTOR TERM AL P/ LIG.TUB.3"" NEMA 4 FU",PEÇ,188.00
10002985,"CONECTOR T BIMET. AL  P/TUBO 3""X3""",PEÇ,6059.03
10002991,"CAIXA DE LIGAÇÃO C/ 2 SAÍDAS EM LR 3/4""",PEÇ,325.72
10002992,PARAF OLHAL 5/8 COMP. 160MM ROS.85MM,PEÇ,2333.67
10002993,CHAVE SECC BY-PASS 15KV 630A-DIR/ESQUER.,PEÇ,20654.51
10002994,CHAVE SECC BY-PASS 15KV 630A-ESQU/DIREIT,PEÇ,27146.13
10003042,CONECTOR CUNHA RAMAL TIPO I,PEÇ,14263.90
10003043,CONECTOR CUNHA RAMAL TIPO II,PEÇ,32851.35
10003111,MANTA REPARO CABO PROTEGIDO 15kV,PEÇ,183305.48
10003121,PARAF. CABEÇA SEX. DIAM 12MM COMP.100MM,PEÇ,347.05
10003182,SUPORTE P/ FIX BF E PR EM CRUZETA,PEÇ,150.08
10003251,CHAVE TANDEN CASCATA 15KV,PEÇ,2820.61
10003291,MEDIDOR ELETRN MON. 2F 1E 15A 120V,PEÇ,30799.50
10003292,MEDIDOR ELETRN MON 3F 1E 15A 240V,PEÇ,282567.82
10003293,MEDIDOR ELETRN BIF 3F 2E 15A 120V,PEÇ,1021266.79
10003294,MEDIDOR ELETRN TRF 4F 3E 15A 120V,PEÇ,106930.84
10003301,TRAFO DIST PED 3F OLEO 500KVA 15KV 220V,PEÇ,115379.97
10003302,TRAFO DIST PED 3F OLEO 500KVA 15KV 380V,PEÇ,118485.78
10003303,TRANSF DIST PED 3F OLEO 300KVA 15KV 220V,PEÇ,39534.27
10003304,TRANSF DIST PED 3F OLEO 150KVA 15KV 220V,PEÇ,31481.99
10003306,FUSIVEL EXP. BAIONETA 25A TRAFO 300 KVA,PEÇ,6869.61
10003307,FUSIVEL EXP. BAIONETA 12A  TRAFO 150 KVA,PEÇ,1142.73
10003311,ISOLADOR BASTO POLIMERICO 36.2kV,PEÇ,12649.17
10003372,MEDIDOR ELETN GDES CLIEN 280V-2.5A-4F-3E,PEÇ,68561.30
10003438,AMORTECEDOR STOCKBRIDGE CAA 954,PC,104641.77
10003439,AMORTECEDOR STOCKBRIDGE CAA 134.6,PC,2417.99
10003445,CONECTOR DERIV AL CT  2-9/9 (PLT-F-203),PEÇ,1379.18
10003464,GRAMPO PARALELO ALUM CABO CAA 954 MCM,PEÇ,5064.09
10003465,GRAMPO PARALELO ALUM CABO CAA 795 MCM,PEÇ,519.18
10003466,GRAMPO PARALELO ALUM CABO CAA 336.4 MCM,PEÇ,3038.93
10003533,"PARAF. CABEÇA SEXT 5/8""X2-1/2"" ROSCA WW",PEÇ,1583.00
10003537,CHAVE A OLEO PARA BANCO DE CAPACITORES,PEÇ,3143.13
10003563,LUMINµRIA Y-17/2 200W TGPV 90ø ESTAÇAO,PEÇ,837.82
10003641,GRAMPO PASSANTE TIPO GRA-0 - PLT-F-075,PEÇ,811.61
10003718,"LUVA PARA ELETRODUTO 1-1/2""",PEÇ,1239.40
10003724,DISJ DIN BIPI 10KVA 220.0VCA 16A,PEÇ,2259.13
10003751,ESFERA SINALIZ DIURN LT 600MM LV LEGHORN,PEÇ,1357.84
10003781,CHUMBADOR DE AÇO. APLICAÇÃO MANUAL,PEÇ,315.33
10003811,CABO CONTR CU CL4 PVCA BLI 2X2.5MM2 750V,M,30577.79
10003813,CABO CONTR CU CL4 PVCA BLI 7X2.5MM2 750V,M,32672.91
10003853,CABO MX AL XLPE 0.6/1KV 3X1X50+35MM2,M,3072.80
10003871,"CONECTOR TERM. EXPAN. BIM.TUBO3"" M36x2",PEÇ,1632.61
10003941,RELE PARA  BC - INSTALACAO EXTERNA,PEÇ,247739.60
10003969,"CONECTOR TERM  EXP C/GUIA 90 3""DN42X3",PEÇ,6701.46
10003992,FUSIVEL EXP BAIONETA 8A -TRAFO PED 75KVA,PEÇ,218.33
10003994,QUADRO DISTRIBUIÇAO PEDESTAL QDP Tipo 0,PEÇ,8056.07
10003996,CHAVE SECCIONADORA VERTICAL P/ QDP-160A,PEÇ,3514.59
10003997,CHAVE SECCIONADORA VERTICAL P/ QDP-250A,PEÇ,14277.03
10003998,CHAVE SECCIONADORA VERTICAL P/ QDP-400A,PEÇ,12122.37
10004002,CABO ISOL 0.6/1kV COBR 1X70MM² EPR,M,3814.25
10004091,MEDIDOR ELETN BT IND 280V2.5A-4F-3E 1.0%,PEÇ,86776.50
10004101,TERMINACAO CONTR FRIO EXT 12~20KV 240MM,JG,264.12
10004111,CABO AL NU CA 1/0 AWG - POPPY,KG,34400.62
10004121,CABO NU AL CAA 4AWG -SWAN,KG,13270.40
10004122,CABO AL NU CA 336.4 MCM - TULIP,KG,15415.53
10004131,CABO AL NU CAA 336.4 MCM - LINNET,KG,70020.81
10004141,CABO AL NU CA 3/0 AWG - PHLOX,KG,2827.22
10004142,CABO NU AL CAA 1/0AWG 6/1F RAVEN,KG,6193.64
10004148,FIO CU NU CL1 TMD 16MM²,KG,125058.37
10004150,CABO AL NU CAA 954.6 MCM - RAIL,KG,462260.52
10004152,CABO DE CU NU MEIO DURA ENCORD(2A) 70MM2,KG,7609.85
10004171,MEDIDOR ELETN BT DIR 280V-30A-4F-3E-1.0%,PEÇ,27635.24
10004244,CABO E ISO CU PVC BWF 25MM2 750V PR,M,3034.80
10004259,CABO MX AL XLPE 0.6/1KV 2X1X35+35MM2,M,533.27
10004260,CABO MX AL XLPE 0.6/1KV 2X70+70MM2,M,18896.78
10004286,FIO AMARRACAO NU AL RECOZIDO 4AWG,KG,4256.99
10004324,CABO POT CU CL2 2X1.5MMý 1KV PT ST1,M,23556.60
10004385,TRAFO DIST 3F 45KVA P 36.2KV 220/127V,PEÇ,5631.01
10004400,CHAVE FUS DIS C 38KV 300A 150KV 5KA,PEÇ,3905.21
10004426,ISOLADOR PILAR PORCELANA 15KV 110KV,PEÇ,187026.69
10004433,CINTA POSTE CIRCULAR B-18 AC 180MM,PEÇ,17862.71
10004435,CINTA POSTE CIRCULAR B-20 AC 200MM,PEÇ,39666.18
10004437,CINTA POSTE CIRCULAR B-22 AC 220MM,PEÇ,16646.41
10004439,CINTA POSTE CIRCULAR B-24 AC 240MM,PEÇ,86505.28
10004441,CINTA POSTE CIRCULAR B-26 AC 260MM,PEÇ,41713.14
10004443,CINTA POSTE CIRCULAR B-28 AC 280MM,PEÇ,20815.03
10004445,CINTA POSTE CIRCULAR B-30 AC 300MM,PEÇ,17838.47
10004447,CINTA POSTE CIRCULAR B-32 AC 320MM,PEÇ,3697.31
10004448,CINTA POSTE CIRCULAR B-34 AC 340MM,PEÇ,6648.08
10004449,CINTA POSTE CIRCULAR B-36 AC 360MM,PEÇ,13372.69
10004450,CINTA POSTE CIRCULAR B-38 AC 380MM,PEÇ,16587.16
10004452,CONCHA GARFO ACO 65MM 120KN F-1306,PEÇ,10367.16
10004456,GANCHO OLHAL AÇO 80MM 5000daN,PEÇ,12.35
10004460,OLHAL PARAFUSO AÇO 16mm 5000DAN,PEÇ,4.08
10004463,SUPORTE INSTAL EQUIP TIPO I DIAM 270MM,PEÇ,124.17
10004473,GANCHO BOLA ACO 75MM 80KN,PEÇ,263.12
10004474,GARFO BOLA ACO 75MM 120KN F-1340,PEÇ,3988.04
10004475,GARFO OLHAL 90GR ACO 90MM 120KN,PEÇ,3838.66
10004482,HASTE ATER AÇO CILIND PROL 19x3000mm,PEÇ,42448.94
10004483,MANILHA AÇO 19X90X12.5MM 240KN F-1217,PEÇ,1846.49
10004502,CINTA POSTE CIRCULAR B-40 AC 400MM,PEÇ,4312.66
10004517,CINTA POSTE CIRCULAR B-16 AC 160MM,PEÇ,6365.94
10004520,PINO ISOL AÇO CRUZ A TRAV 85MM,PEÇ,21.68
10004525,PINO ISOL AÇO CRUZ A TRAV 169MM,PEÇ,30776.80
10004542,SECCIONADOR PREF CERCA 3.25-4.11mm,PEÇ,93.49
10004557,ALCA PREF DIST CAA  336.4 AWG,PEÇ,1453.47
10004564,ALCA PREF SERVICO 70 MM,PEÇ,32330.61
10004576,LAÇO TOPO DUPLO PREF CAA 336.4MCM 60mm,PEÇ,830.37
10004579,ALÇA PREF CABO COBERTO CA 185MM2 -15kV,PEÇ,3336.74
10004586,ALÇA PREF DIST CA CAA 1/0AWG,PEÇ,15763.82
10004588,ALÇA PREF DIST CA CAA 4/0AWG,PEÇ,924.68
10004591,ALCA ESTAI PREF P/CABO ACO 9.5mm (3/8),PEÇ,19376.49
10004592,ALCA PREF SERVICO 35 MM,PEÇ,73.07
10004615,CONECTOR CUNHA CN10,PEÇ,210.17
10004625,CONECTOR CUNHA RAMAL TIPO VIII,PEÇ,75.47
10004654,CONECTOR L VIVA CUES 2-1/0 D 16 35MM2,PEÇ,46254.10
10004669,CONECTOR D T AL1 1/2POL CA795MCM,PEÇ,144.67
10004745,CONECTOR PERF 16~95X1.5~10MM,PEÇ,12165.05
10004775,LUVA EMENDA COMP CA 336.4 MCM IT-09,PEÇ,294.21
10004797,CONECTOR D T CB CA795 336.4MCM,PEÇ,1049.87
10004840,CONECTOR PAR AL CA700-750 CAA605-636,PEÇ,26.82
10005102,PARAFUSO QUAD ACO CARB M16 X 350 MM,PEÇ,85.11
10005103,PARAFUSO QUAD ACO CARB M16 X 450 MM,PEÇ,118.69
10005109,PORCA QUAD ZI 16MM M CHANFRO,PEÇ,5.61
10005168,CORDOALHA AÇO CARB 9.5MM 7F CL.B MR/SM,M,82478.23
10005180,MASSA ISOLAMENT ELET 38X1500MM,PEÇ,964.78
10005317,PARA RAIO DISTR ZNO 12KV 10KA S/CENT,PEÇ,67654.44
10005442,CAPACITOR POT MONO 100KVAR 7960V 95KV 5D,PEÇ,34129.83
10005539,CINTA POSTE CIRCULAR B-56 AC 560MM,PEÇ,1343.73
10005662,REATOR INTEGRADO LÂMP VAPOR SÓDIO 70W,PEÇ,299.25
10005665,PARAFUSO CAB SEX M12x60mm 2AR POR BRONZE,PEÇ,1540.89
10005696,CABO CONTR CU 3X2.5MM2 ENC4 ISOLAC,M,331.50
10006043,LUMINÁRIA IP.VS.250W LPS2 - VIDRO,PEÇ,26483.99
10006183,CABO COB ANTI-FURTO CU XLPE 2X10+10MMý,M,2286.70
10006291,POSTE AÇO CIRCULAR ALT 7000MMx150DAN,PEÇ,4026.27
10006371,CAIXA DE INTERLIGAÇÃO PARA BC AUTOMÁTICO,PEÇ,2734.45
10006415,CAIXA DE COMANDO BC,PEÇ,6125.67
10006591,PELÍCULA ALFANUM. ADESIVA IDENT-0,PEÇ,2762.53
10006592,PELÍCULA ALFANUM. ADESIVA IDENT-1,PEÇ,2570.26
10006593,PELÍCULA ALFANUM. ADESIVA IDENT-2,PEÇ,2555.80
10006594,PELÍCULA ALFANUM. ADESIVA IDENT-3,PEÇ,2245.31
10006595,PELÍCULA ALFANUM. ADESIVA IDENT-4,PEÇ,2259.62
10006596,PELÍCULA ALFANUM. ADESIVA IDENT-5,PEÇ,2490.84
10006597,PELÍCULA ALFANUM. ADESIVA IDENT-6,PEÇ,2075.85
10006598,PELÍCULA ALFANUM. ADESIVA IDENT-7,PEÇ,1790.92
10006599,PELÍCULA ALFANUM. ADESIVA IDENT-8,PEÇ,2252.46
10006600,PELÍCULA ALFANUM. ADESIVA IDENT-A,PEÇ,453.34
10006601,PELÍCULA ALFANUM. ADESIVA IDENT-B,PEÇ,513.33
10006602,PELÍCULA ALFANUM. ADESIVA IDENT-C,PEÇ,1139.53
10006603,PELÍCULA ALFANUM. ADESIVA IDENT-D,PEÇ,438.14
10006604,PELÍCULA ALFANUM. ADESIVA IDENT-E,PEÇ,416.67
10006605,PELÍCULA ALFANUM. ADESIVA IDENT-F,PEÇ,462.68
10006606,PELÍCULA ALFANUM. ADESIVA IDENT-G,PEÇ,2273.30
10006607,PELÍCULA ALFANUM. ADESIVA IDENT-H,PEÇ,2304.12
10006608,PELÍCULA ALFANUM. ADESIVA IDENT-I,PEÇ,451.55
10006609,PELÍCULA ALFANUM. ADESIVA IDENT-J,PEÇ,523.48
10006610,PELÍCULA ALFANUM. ADESIVA IDENT-K,PEÇ,549.64
10006611,PELÍCULA ALFANUM. ADESIVA IDENT-L,PEÇ,1214.01
10006612,PELÍCULA ALFANUM. ADESIVA IDENT-M,PEÇ,537.67
10006613,PELÍCULA ALFANUM. ADESIVA IDENT-N,PEÇ,875.91
10006614,PELÍCULA ALFANUM. ADESIVA IDENT-P,PEÇ,1038.68
10006615,PELÍCULA ALFANUM. ADESIVA IDENT-Q,PEÇ,806.58
10006616,PELÍCULA ALFANUM. ADESIVA IDENT-R,PEÇ,410.36
10006617,PELÍCULA ALFANUM. ADESIVA IDENT-S,PEÇ,1629.17
10006618,PELÍCULA ALFANUM. ADESIVA IDENT-T,PEÇ,346.94
10006619,PELÍCULA ALFANUM. ADESIVA IDENT-U,PEÇ,1473.80
10006620,PELÍCULA ALFANUM. ADESIVA IDENT-V,PEÇ,1266.48
10006621,PELÍCULA ALFANUM. ADESIVA IDENT-W,PEÇ,465.78
10006622,PELÍCULA ALFANUM. ADESIVA IDENT-X,PEÇ,380.44
10006623,PELÍCULA ALFANUM. ADESIVA IDENT-Y,PEÇ,310.91
10006651,CONECTOR TERMINAL AL 2 FUROS-240mm2,PEÇ,200.09
10006652,CONECTOR LUVA COMPRESSÃO ALUMINIO-240mm2,PEÇ,4883.07
10006661,CABO POT CU CL2 1X70MM2 0.6/1KV PT EPR,M,48705.30
10006692,SUPORTE P/ NUMEROS REFLETIVOS 440X95X4,PEÇ,12397.03
10006782,TRAFO COR 34.5KV 240:1 1200/5 EXT,PEÇ,19146.82
10006783,TRAFO COR 34.5KV120:1 600/5A EXT,PEÇ,43727.83
10006784,CONCENTRADOR PRIM CP 9701 E MODEM CELUL,PEÇ,10160.25
10006794,FECHO PARA FITA DE ACO INOX 3/4,PEÇ,1567.42
10006825,CONECTOR TERM ESTRANGUL TIPO 7 2FUROS,PEÇ,33911.94
10006860,CONECTOR HASTE - CABO (P/ HASTE DE 19MM),PEÇ,6786.11
10006871,MEDIDOR ELETN BT REAT DIRET 120V 4F 3E,PEÇ,6159.19
10006872,PELÍCULA ALFANUM. ADESIVA IDENT-Z,PEÇ,705.66
10006883,LUVA DE EMENDA  PARA HASTE DE 19 MM,PEÇ,76.90
10006884,FITA AÇO PARA SUPORTE DE ADESIVO,M,1932.57
10006953,CONECTOR TERM ESTRANGUL TIPO 4 2FUROS,PEÇ,44828.34
10006954,CONECTOR TERM ESTRANGUL TIPO 5 2FUROS,PEÇ,72464.63
10006995,CONECT PERF SUBTER PRI 120-240 DER 10-25,PEÇ,5562.41
10006996,CONECT PERF SUBT PRI 120-240 DER 120-240,PEÇ,3093.53
10007063,CONECTOR TERM ESTRANGUL TIPO 3 1FURO,PEÇ,3793.80
10007138,SELO LACR  ENERGEC POLICAR  VERMELHA,PEÇ,1298.97
10007139,SELO LACR ENERGEC POLICAR ROSA,PEÇ,17942.10
10007143,SELO LACR BANDEIRANTE POLICAR VERMELHA,PEÇ,3773.88
10007144,SELO LACR BANDEIRANTE POLICAR VERDE,PEÇ,3429.25
10007172,LUMINÁRIA IP VS 100W LPS00 VIDRO PLANO,PEÇ,40365.67
10007173,LUMINÁRIA IP VS 150W LPS1 VIDRO PLANO,PEÇ,27781.64
10007255,TRAFO DIST 1F 15KVA G 7.96KV 240/120V,PEÇ,74181.15
10007256,TRAFO DIST 1F 25KVA G 15KV 240/120V,PEÇ,4056.97
10007259,TRAFO DIST 1F 50KVA G 15KV 240/120V,PEÇ,58475.20
10007260,TRAFO DIST 1F 100KVA G 15KV 240/120V,PEÇ,168481.06
10007415,CINTA POSTE CIRCULAR B-42 AC 420MM,PEÇ,7813.04
10007416,CINTA POSTE CIRCULAR B-44 AC 440MM,PEÇ,2480.17
10007417,CINTA POSTE CIRCULAR B-46 AC 460MM,PEÇ,3537.17
10007418,CINTA POSTE CIRCULAR B-48 AC 480MM,PEÇ,4529.53
10007419,CINTA POSTE CIRCULAR B-52 AC 520MM,PEÇ,746.02
10007574,CONECTOR EMENDA COTOVELO 45º AL 3 POL,PEÇ,1658.71
10007611,SELO LACR START POLICAR  ROSA,PEÇ,2994.91
10007615,SELO LACR START POLICAR LARANJA,PEÇ,9277.87
10007620,SELO LACR START POLICAR  PRETO,PEÇ,1771.81
10007684,ELO AÇO FORJADO 240kN LT PLT-F-229,PEÇ,3965.73
10007685,DUPLICADOR AÇO ZINCADO 240kN PLT-F-233,PEÇ,480.62
10007686,DUPLICADOR CAD SUSP AÇO 120kN PLT-F-232,PEÇ,17998.68
10007687,GRAMPO SUSP ANTI-CORO CAA795MCM PLT-F235,PEÇ,34382.53
10007692,DUPLICADOR AÇO ZINCADO 160kN PLT-F-231,PEÇ,3232.01
10007693,CONECT PERF SUBTER PRI 120-240 DER 95-70,PEÇ,4540.90
10007694,CONECT PERF SUBTER PRI 120-240 DER 50-35,PEÇ,1958.63
10007695,CONECT PERF SUBTER PRI 70-35 DER 70-35,PEÇ,4059.34
10007696,CONECT PERF SUBTER PRI 70-35 DER 25-10,PEÇ,6853.73
10007701,TENSOR GARFO-GARFO AÇO 120kN PLT-F-216,PEÇ,1839.57
10007703,GARFO-OLHAL 90º 65mm 120kN AÇO PLT-F-234,PEÇ,14883.12
10007733,CONECT BARR ISOL SUBTER 4VIA 10 A 185mm2,PEÇ,6843.88
10007742,"PARAFUSO OLHAL  5/8""X 200 MM",PEÇ,253.77
10008001,CONECTOR TERM ESTRANGUL TIPO 6 2FUROS225,PEÇ,91311.95
10008132,CONECTOR TERM ESTRANGUL TIPO 7P 2FUROS,PEÇ,4035.67
10008281,ALÇA PREF CABO COBERTO CA 300MM2 -34.5kV,PEÇ,33906.67
10008285,CONECTOR TERM ESTRANGUL TIPO 8 2FUROS,PEÇ,38068.65
10008289,CABO PROTEGIDO AL 34.5KV XLPE CZ 300MM2,M,41740.94
10008290,CHAVE SECC BY-PASS 38KV 630A DIR/ESQ,PEÇ,5165.00
10008312,CHAVE SECC BY-PASS 38KV 630A ESQ/DIR,PEÇ,11125.59
10008314,SUPORTE INSTAL EQUIP TIPO III DIAM 320MM,PEÇ,975.91
10008320,PARA RAIO DISTR ZNO 30KV 10KA S/CENT,PEÇ,19949.14
10008333,CHAVE FUS C 15KV 300A NBI110KV 10KA POL,PEÇ,237456.36
10008441,TAMPA RET CX PASS DT.PN.01.42.0005 EDP,PEÇ,639.15
10008602,TERMINAL TUB TIPO 5 CABO 1/0AWG 50mm² AZ,PEÇ,45.76
10008603,TERMINAL TUB TIPO 1 CABO 8AWG 10mm² VM,PEÇ,1791.89
10008604,TERMINAL TUB TIPO 2 CABO 6AWG 16mm² AZ,PEÇ,18288.32
10008605,TERMINAL TUB TIPO 3 CABO 4AWG 25mm² AM,PEÇ,279.06
10008606,TERMINAL TUB TIPO 4 CABO 2AWG 35mm² VM,PEÇ,207.95
10008652,TERMINAL EXT. CABO ISOL 20/35kV 400mm2,JG,1231.15
10008671,ESPACADOR HEL FORM CABO 336MCM LT,PEÇ,434.11
10008771,TERMINAL INT CABO ISOL 8.7/15kV 35mm2,JG,468.98
10008791,PARAFUSO CAB ABAUL AÇO CARB M16x100mm,PEÇ,2534.60
10008801,CHAVE SECCIONADORA VERTICAL P/ QDP-630A,PEÇ,22879.97
10008811,PINO ISOL AÇO CARB 34.5KV M16x35x240MM,PEÇ,10965.02
10008857,CABO AÇO COBREADO 19X9AWG - IACS(%)40,KG,35254.63
10008869,CRUZETA FIB VIDRO 90X90MM 2000MM,PEÇ,94808.79
10008882,TRAFO POTL IND 34.5KV 0.3P75 400VA EXT,PEÇ,25550.45
10008883,TRAFO COR 34.5KV  100-5A 0.3C12.5 INT,PEÇ,7830.50
10008884,TRAFO COR 34.5KV 150-5A 0.3C12.5 INT,PEÇ,7830.50
10008903,TRAFO COR 34.5KV 200-5A 0.3C12.5 INT,PEÇ,11745.75
10008951,SUPORTE INSTAL EQUIP TIPO III DIAM 360MM,PEÇ,522.04
10008970,PARAFUSO ESP SAE1020 MA M16X2MM 750MM,PEÇ,79.33
10008991,ESPACADOR LOSAN AUTOTRAV INST DIS 13.8KV,PEÇ,409.86
10009122,CONEC PERF RAMAL CLI TP2 16-6/16-6,PEÇ,250.55
10009124,CONEC PERF RAMAL CLI TP4 35-10/35-25,PEÇ,22076.64
10009126,CONEC PERF RAMAL CLI TP6 70-50/70-50,PEÇ,12142.46
10009131,CONEC PERF RAMAL CLI TP9 120-95/120-95,PEÇ,8693.63
10009510,INTERRUPTOR BIP PARALELO 20A 220V C/CAIX,PEÇ,76.26
10009526,CADEADO 35MM LT NT CURT CH/SL,PEÇ,265.80
10009537,"CURVA 90° ALUMÍNIO 1.1/2"" SEM ROSCA",PEÇ,124.54
10009538,"CURVA 90° ALUMÍNIO 3"" SEM ROSCA",PEÇ,249.24
10009539,ELETRODUTO AL6063-T6 SCH40 SC 3 LIS,PEÇ,829.54
10009540,"ELETRODUTO AL6063-T6 SCH40 SC 1.1/2"" LIS",PEÇ,1190.24
10009546,PARAFUSO SEX M16X35X2MM AÇO GALV C/ ARRU,PEÇ,7.94
10009547,ABRACADEIRA D PARAF A1010/1020 3/4,PEÇ,57.47
10009549,ABRACADEIRA D PARAF A1010/1020 2,PEÇ,57.13
10009550,ABRACADEIRA D PARAF A1010/1020 3,PEÇ,1.73
10009646,CABO PROTEGIDO AL 34.5KV XLPE CZ 185MM2,M,155264.07
10009647,ALÇA PREF CABO COBERTO CA 185MM² -35KV,PEÇ,1676.22
10009672,CABO MX AL XLPE 0.6/1KV 2X1X10+10MM2 NI,M,4047.30
10009674,CABO MX AL XLPE 0.6/1KV 2X1X16+16MM2 NI,M,22499.68
10009745,CONECTOR T PINO LISO 30MM SAÍDA RETA/90°,PEÇ,1398.51
10009751,"CONECTOR TERM  EXP C/GUIA TUB3"" DN42X3MM",PEÇ,417.55
10009778,POSTE FIBRA CIRCULAR 12M 300DAN SECCION,PEÇ,39806.51
10009780,POSTE FIBRA CIRCULAR 12M 600DAN SECCION,PEÇ,19821.54
10009801,MEDIDOR ATIVA MONOF 120V 15A 2F 1E SMC,PEÇ,26714.53
10009804,MÓDULO TRANSMISSÃO ZIGBEE SERIAL,PEÇ,9592.15
10009833,POSTE FIBRA CIRCULAR 12M 1000DAN SECC,PEÇ,21832.66
10009846,CABO COM SERIAL ZIGBEE 0.2M,PEÇ,21129.74
10009902,CABO COB ANTI-FURTO AL XLPE 1X16+16MM2,M,138512.89
10009947,SUPORTE CONCENTRADOR SEC SMC,PEÇ,36029.03
10009955,CABO CONTR CU CL4 PVCA BLI 5X2.5MM2 750V,M,8789.27
10009960,ESPAÇADOR P/ REDE PRIM 6 À 336 AWG 750MM,PEÇ,19172.79
10009972,SEPARADOR CONFIGURAÇÃO FLY TAP-AD,PEÇ,4186.43
10010046,MEDIDOR ELETR 15A 240V TRIF 4F 3E,PEÇ,23865.11
10010058,SELO LACR RELUZ POLICAR PRETO,PEÇ,118.46
10010109,ESPACADOR LOSAN AUTOTRAV 13.8KV,PEÇ,76869.04
10010114,GANCHO SUSTENT POLIMRICO REDE BTZERO,PEÇ,23245.67
10010116,BLINDAGEM PARCIAL SEC TRAFO DIST,PEÇ,49421.19
10010120,MEDIDOR ELETR MMGD 15A 120V TRIF 4F 3E,PEÇ,46795.41
10010172,EMENDA RETA 20/35KV P/ CABO DE 185 mm2,PEÇ,26533.29
10010173,TERMINAL EXT CABO ISOL 20/35kV 185mm2,PEÇ,1041.39
10010174,CONECTOR TERMINAL AL 2 FUROS 185mm2,PEÇ,881.42
10010175,CONECTOR LUVA COMPRESSÃO ALUMINIO-185mm2,PEÇ,709.94
10010236,MEDIDOR ELETR MMGD 15A 120V BIF 3F 2E,PEÇ,2105.87
10010244,CABO MX AL XLPE 0.6/1KV 2X1X25+25MM2 NI,M,3752.07
10010301,ANILHA IDENT CABO PVC AM 0 -  9~12.6MM,PEÇ,1314.03
10010302,ANILHA IDENT CABO PVC AM 1 - 9~12.6MM,PEÇ,1877.34
10010303,ANILHA IDENT CABO PVC AM 2 - 9~12.6MM,PEÇ,2005.17
10010304,ANILHA IDENT CABO PVC AM 3 - 9~12.6MM,PEÇ,592.57
10010305,ANILHA IDENT CABO PVC AM 4 - 9~12.6MM,PEÇ,320.72
10010306,ANILHA IDENT CABO PVC AM 5 - 9~12.6MM,PEÇ,469.58
10010307,ANILHA IDENT CABO PVC AM 6 - 9~12.6MM,PEÇ,360.87
10010308,ANILHA IDENT CABO PVC AM 7 - 9~12.6MM,PEÇ,382.68
10010309,ANILHA IDENT CABO PVC AM 8 - 9~12.6MM,PEÇ,135.51
10010310,ANILHA IDENT CABO PVC AM 9 - 9~12.6MM,PEÇ,564.15
10010332,CRUZETA FIB VIDRO 90X90MM 2400MM,PEÇ,7666.27
10010333,CRUZETA FIB VIDRO 90X112.5MM 2800MM,PEÇ,179.65
10010334,CRUZETA FIB VIDRO 90X90MM 3920MM,PEÇ,1506.69
10010343,"ARRUELA RD AC1020 1/4""X1/2""X1.20MM",PEÇ,86.02
10010511,MEDIDOR BIDIREC MMGD 30A-4F-3E-1.0%,PEÇ,12343.32
10010512,MEDIDOR BIDIREC MMGD 2.5/10A 4F-3E-1.0%,PEÇ,14100.49
10010531,CABO ISOL CU CL2 PVC/BWF 1X6MM AZ,M,205.29
10010571,CINTA POSTE CIRCULAR H-4 AC 160MM,PEÇ,209.24
10010572,CINTA POSTE CIRCULAR H-4 AC 160MM,PEÇ,491.14
10010573,CINTA POSTE CIRCULAR H-6 AC 200MM,PEÇ,0.56
10010574,CINTA POSTE CIRCULAR H-7 AC 230MM,PEÇ,6030.70
10010575,CINTA POSTE CIRCULAR H-8 AC 260MM,PEÇ,6032.22
10010576,CINTA POSTE CIRCULAR H-9 AC 290MM,PEÇ,8443.91
10010577,CINTA POSTE CIRCULAR H-10 AC 320MM,PEÇ,806.63
10010673,CABO AÇO ALUMINIZADO 1/0WG 50.29MM2 40%,KG,7721.73
10010717,KIT CHICOTE MEDICAO INDIRETA BT,PEÇ,2996.69
10010733,CABO PROTEGIDO CU 15KV XLPE CZ 16MM2,M,48113.82
10010771,CABO ACO COBREADO 1AWG 7X2.91 MM2 30%,KG,24109.70
10010774,CABO POT CU CL2 1X240MMý 0.6/1KV AZ,M,40655.86
10010783,PARAFUSO ESP SAE1020 MA M16X2MM 1000MM,PEÇ,2928.14
10010784,CABO POT 0.6/1KV COBR 1X35MM² XLPE (AZ),M,1728.48
10010785,CABO POT 0.6/1kVCOBR 1X70MM² XLPE (AZ),M,1517.25
10010875,MEDIDOR ELETR BWBT RS 485 ABNT 4F 3E,UN,11028.27
10010984,SELO LACR ENGELMIG POLICAR PRETO,PEÇ,4805.52
10010986,SELO LACR ENGELMIG POLICAR LARANJA,PEÇ,7243.80
10010989,PORCA PROLONGA PARAFUSO AC M16 X 48MM,UN,658.24
10011021,MODULO COM MONIT/TELEMEDICAO MED 3G,PEÇ,109498.79
10011156,CABO COB ANTI-FURTO AL XLPE 2X16+16MMý,M,3055.83
10011164,ISOLADOR PEDESTAL PORC TR-205,PEÇ,6093.97
10011192,CONECTOR CUNHA CN4 PROT CORROS GALVÂNICA,PEÇ,36346.42
10011193,CONECTOR CUNHA CN6 PROT CORROS GALVÂNICA,PEÇ,13623.03
