Material	Descrição do item	Código NCM	Preço R$
10746	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10747	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10748	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10749	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10750	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10751	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10752	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10753	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10754	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10755	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10756	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10757	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10758	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10759	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10760	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10761	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10762	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10763	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10764	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10765	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10766	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10767	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10768	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10769	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10770	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10771	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10772	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10773	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10774	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10775	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10776	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10777	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10778	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10779	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10780	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10781	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10782	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10783	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10784	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10785	CABO FLEXIVEL 750V PVC 16MM VM 70G CBFLEX 16VM	8544.49.00	R$ 0,00
10787	CABO FLEXIVEL 750V PVC 2,50 MM AV 70G CBFLEX PRYSMIAN	8544.49.00	R$ 0,00
10788	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10789	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10790	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10791	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10792	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10793	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10794	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10795	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10796	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10797	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10798	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10799	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10800	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10801	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10802	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10803	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10804	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10805	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10806	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10807	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10808	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10809	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10810	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10811	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10812	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10813	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10814	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10815	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10816	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10817	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10818	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10819	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10820	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10821	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10822	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10823	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10824	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10825	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10826	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10827	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10828	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10829	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10830	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10831	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10832	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10833	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10834	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10835	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10836	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10837	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10838	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10839	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10840	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10841	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10842	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10843	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10844	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10845	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10846	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10847	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10848	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10849	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10850	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10851	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10852	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10853	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10854	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10855	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10856	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10857	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10858	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10859	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10860	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10861	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10862	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10863	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10864	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10865	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10866	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10867	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10868	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10869	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10870	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10871	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10872	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10873	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10874	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10875	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10876	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10877	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10878	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10879	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10880	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10881	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10882	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10883	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10884	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10885	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10886	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX	8544.49.00	R$ 0,00
10786	CABO FLEXIVEL 750V PVC 2,50 MM AZ 70G CBFLEX CONDUSCABOS	8544.49.00	R$ 0,00
10887	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10888	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10889	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10890	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10891	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10892	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10893	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10894	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10895	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10896	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10897	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10898	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10899	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10900	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10901	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10902	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10903	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10904	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10905	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10906	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10907	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10908	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10909	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10910	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10911	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10912	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10913	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10914	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10915	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10916	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10917	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10918	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10919	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10920	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10921	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10922	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10923	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10924	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10925	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10926	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10927	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10928	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10929	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10930	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10931	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10932	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10933	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10934	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10935	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10936	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10937	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10938	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10939	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10940	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10941	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10942	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10943	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10944	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10945	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10946	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10947	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10948	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10949	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10950	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10951	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10952	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10953	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10954	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10955	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10956	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10957	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10958	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10959	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10960	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10961	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10962	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10963	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10964	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10965	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10966	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10967	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10968	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10969	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10970	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10971	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10972	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10973	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10974	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10975	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10976	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10977	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10978	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10979	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10980	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10981	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10982	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10983	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10984	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10985	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10986	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10987	CABO FLEXIVEL 750V PVC 2,50MM AV 70G	8544.49.00	R$ 0,00
10989	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10990	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10991	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10992	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10993	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10994	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10995	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10996	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10997	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10998	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
10999	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11000	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11001	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11002	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11003	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11004	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11005	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11006	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11007	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11008	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11009	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11010	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11011	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11012	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
11013	CABO FLEXIVEL 750V PVC 2,50MM AV 70G CBFLEX 2,50	8544.49.00	R$ 0,00
