MATERIAL	DESCRIÇÃO	UNID	TIPO DE MATERIAL	TEM CA?
3925	"BROCA AÇO RAPIDO 3/32"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3926	BROCA DE AÇO RAPIDO 10,0MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3927	BROCA DE AÇO RAPIDO 16MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3928	BROCA DE AÇO RAPIDO 3 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3929	BROCA DE AÇO RAPIDO 5 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3930	BROCA DE AÇO RAPIDO 7 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3931	BROCA DE VIDEA 10MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3932	"BROCA DE VIDIA P/ CONCRETO 1/2""(12MM)"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3933	CABINHO FLEXIVEL 750V 0,5MM² COR PRETA	UND  	OUTROS	-
3934	CABINHO FLEXIVEL 750V-0,5MM²  COR VERMELHA c/ 100mts	RL   	OUTROS	-
3935	CABINHO FLEXIVEL 750V 1,5MM² COR PRETA	UND  	OUTROS	-
3936	CABINHO FLEXIVEL 750V-1,5MM²  COR VERMELHA	UND  	OUTROS	-
3937	CHAVE ALLEN DE 10MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3938	CHAVE ALLEN DE 5 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3939	CHAVE ALLEN DE 6 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3940	CHAVE ALLEN DE 7MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3941	CHAVE ALLEN DE 8MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3942	CHAVE ALLEN DE 9MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3943	CHAVE COMBINADA 6 A 22MM GEDORE	UND  	EPI/EPC/FERRAMENTAL	NÃO
3944	CHAVE COMBINADA DE BOCA E ESTRIA 11MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3945	CHAVE COMBINADA S/ISOL 9MM BOCA ESTRIA	UND  	EPI/EPC/FERRAMENTAL	NÃO
3946	CHAVE COMBINADA, DE 11/16MM (18 MM)	UND  	EPI/EPC/FERRAMENTAL	NÃO
3947	CHAVE COMBINADA, DE 9/16MM (13 MM)	UND  	EPI/EPC/FERRAMENTAL	NÃO
3948	CHAVE CONTACTADORA, BIP, DE 15 A X 220 V	UND  	EPI/EPC/FERRAMENTAL	NÃO
3949	"JOGO DE CHAVES DE BOCA, DE 1/4"" A 1.5/8"" - COM 11 PEÇAS"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3951	CHAVE DE BOCA, DE 8 A 19MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3954	"CHAVE GRIFO TAM.12"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3955	"CHUMBADOR CBA  C/ PARAF. 1/4X2"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3956	"CHUMBADOR CBA  C/ PARAF. 5/16X2.1/4"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3957	CONECTOR RJ 45	UND  	OUTROS	-
3958	ETIQUETA ADESIVA 50X25MM 2C BOPP BRANCO	UND  	OUTROS	-
3959	KIT P/ FROTA C/ LOGO ENEL E 04 ADESIVOS	KIT  	OUTROS	-
3960	LAMPADA FLUORESCENTE 32W	UND  	OUTROS	-
3961	LAMPADA FLUORESCENTE 40W	UND  	OUTROS	-
3962	LAMPADA INCANDESCENTE 100WX127V-E-27	UND  	OUTROS	-
3963	LÂMPADA INCANDESCENTE, 60WX127V-E-27	UND  	OUTROS	-
3964	PASTA P/ SOLDA TUBO 110G.	UND  	OUTROS	-
3965	PREGO C/ CABEÇA 16 X 24	UND  	OUTROS	-
3967	REATOR PARTIDA RAPIDA 2 X 32W BIVOLT	UND  	OUTROS	-
3968	REATOR PARTIDA RÁPIDA 2 X 40W BIVOLT	UND  	OUTROS	-
3969	SERRA TIPO COPO DE 48MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3970	TELEFONE GIGASET DA 100 SIEMENS	UND  	OUTROS	-
3971	VEDA JUNTA 120G	UND  	OUTROS	-
3972	FITA PET P/EMBALAGEM 19MM X 1.10MM X 910M VIRGEM	UND  	OUTROS	-
3973	FILME PARA EMBALAGEM, STRECH, BOBINA DE 500 MM	UND  	OUTROS	-
3974	SACO DE PLÁSTICO BOLHA REF.45 X 34CM	UND  	OUTROS	-
3984	APAGADOR ANATÔMICO P/ QUADRO BRANCO	UND  	ESCRITÓRIO	-
3985	BLOCO DE RECADO AUTO ADESIVO 38MMX51MM C/4 UNIDADES	UND  	ESCRITÓRIO	-
3986	EXTRATOR DE GRAMPO MOD.ESPATULA	UND  	ESCRITÓRIO	-
3987	TINTA PARA CARIMBO PRETA - 40ML	UND  	ESCRITÓRIO	-
3988	CLIPS Nº 8/0 EMBALAGEM C/ 20 UNIDADES	CX   	ESCRITÓRIO	-
3989	PASTA PLÁSTICA TRANSPARENTE C/ ELÁSTICO 4CM	UND  	ESCRITÓRIO	-
3990	TESOURA CABO PLÁSTICO 21CM	UND  	ESCRITÓRIO	-
3991	PILHA ALCALINA RECARREGÁVEL AAA2 1.2V	UND  	ESCRITÓRIO	-
3992	PILHA ALCALINA AAA 1.5V	UND  	ESCRITÓRIO	-
3993	PASTA PLÁSTICA TRANSPARENTE MODELO L A4 FINA (Tipo envelope)	UND  	ESCRITÓRIO	-
3994	SUPORTE PARA NOTEBOOK	UND  	ESCRITÓRIO	-
3995	COLA BRANCA PLÁSTICA - 1 LITRO	UND  	ESCRITÓRIO	-
3996	BLOCO FLIPP SHART 65X95CM COM 50 FOLHAS	BL   	ESCRITÓRIO	-
3997	PASTA SUSPENSA MARMORIZADA CASTANHA	UND  	ESCRITÓRIO	-
3998	ELÁSTICO AM. C/25 GRAMAS	CX   	ESCRITÓRIO	-
3999	ELÁSTICO AM. SACO C/1KG	SC   	ESCRITÓRIO	-
4000	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 8	PAR  	EPI/EPC/FERRAMENTAL	SIM
4001	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 9	PAR  	EPI/EPC/FERRAMENTAL	SIM
4002	LUVA ANTI-CORTE MAPA 840 KROFLEX  - TAMANHO 10	PAR  	EPI/EPC/FERRAMENTAL	SIM
4003	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 46-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4004	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM XG"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4005	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM GG"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4006	GRAMPO PLÁSTICO PARA PASTA SUSPENSA	UND  	ESCRITÓRIO	-
4007	GRAMPEADOR METAL PARA FOLHAS 28/6	UND  	ESCRITÓRIO	-
4008	SACO PLÁSTICO OF. 04 FUROS 0,12 MM GR  C/ 50 UNIDADES	SC   	ESCRITÓRIO	-
4009	PORTA CARTÕES COURVIN P/ 80 UNIDADES	UND  	ESCRITÓRIO	-
4010	APOIO PARA TECLADO ERGONÔMICO PRETO	UND  	ESCRITÓRIO	-
4012	CADERNO ESPIRAL C/FLEX  1/4 98FL (Pequeno)	UND  	ESCRITÓRIO	-
4013	CADERNO ESPIRAL C/FLEX  200 FL (GRANDE)	UND  	ESCRITÓRIO	-
4014	FITA ADESIVA TRANSPARENTE 12X30MM	RL   	ESCRITÓRIO	-
4015	PEN DRIVE 16 GB	UNID	OUTROS	-
4016	ALCOOL 70% 1 LITRO	UND  	ESCRITÓRIO	-
4017	ENVELOPE K NATURAL 26X36 80G	UND  	ESCRITÓRIO	-
4018	CAIXA ARQUIVO PAPELÃO OF A25/L14/C36CM	UND  	ESCRITÓRIO	-
4019	PASTA REGISTRO OF LARGA ECONOMICA	UND  	ESCRITÓRIO	-
4020	FITA ADESIVA TRANSPARENTE PARA EMBALAGEM 45MMX45M	RL   	ESCRITÓRIO	-
4021	GRAFITE 0.7MM 2B	UND  	ESCRITÓRIO	-
4022	PAPEL BRANCO A4-75G/M² -210X297MM C/500 FOLHAS	RM   	ESCRITÓRIO	-
4023	PAPEL BRANCO A3-75G/M² - 297X420MM	RM   	ESCRITÓRIO	-
4026	FITA ADESIVA TRANSPARENTE C/LOGO CAM 48x50	UND  	OUTROS	-
4110	FONTE DE ALIMENTAÇÃO CHAVEADA 24V/2,5A 60W	pç	OUTROS	-
4131	BATERIA 9V	UND  	EPI/EPC/FERRAMENTAL	NÃO
4134	BOLSA LONA P/FERRAMENTAS E/OU EPI IMPER Nº 10 VERDE 450x400MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4139	FIO FLEXÍVEL AUTO 2,5MM PRETO 750V	UND  	FABRICAÇÃO	-
4153	BARRAMENTO DE TERRA/NEUTRO BRG N/T7 C/SUPORTE TB	pç	OUTROS	-
4169	LAMINA DE SERRA MANUAL 12'' 24 DENTES	UND  	EPI/EPC/FERRAMENTAL	NÃO
4174	CABO FLEXÍVEL AUTO 2,5MM AZUL 750V	pç	OUTROS	-
4175	CALÇA PADRAO ENEL FAIXA REFLETIVA P	PC   	EPI/EPC/FERRAMENTAL	NÃO
4176	CALÇA PADRAO ENEL FAIXA REFLETIVA M	PC   	EPI/EPC/FERRAMENTAL	NÃO
4177	CALÇA PADRAO ENEL FAIXA REFLETIVA GG	PC   	EPI/EPC/FERRAMENTAL	NÃO
4178	CALÇA PADRAO ENEL FAIXA REFLETIVA XG	PC   	EPI/EPC/FERRAMENTAL	NÃO
4179	CAMISA PADRAO ENEL  FAIXA REFLETIVA P	PC   	EPI/EPC/FERRAMENTAL	NÃO
4180	CAMISA PADRAO ENEL  FAIXA REFLETIVA M	PC   	EPI/EPC/FERRAMENTAL	NÃO
4181	CAMISA PADRAO ENEL  FAIXA REFLETIVA GG	PC   	EPI/EPC/FERRAMENTAL	NÃO
4182	CAMISA PADRAO ENEL  FAIXA REFLETIVA XG	PC   	EPI/EPC/FERRAMENTAL	NÃO
4193	ACOPLAMENTO INDUTIVO TRIFÁSICO 127V P/COMUNICAÇÃO PLC	UND  	FABRICAÇÃO	-
4195	CONCENTRADOR PRIMÁRIO CAM	pç	OUTROS	-
4196	CONCENTRADOR SECUNDÁRIO, C/12 MÓDULOS DE MEDIDA	UND  	FABRICAÇÃO	-
4203	PARAFUSADEIRA BATERIAL 7,2V 20NW REF.TD020	UND  	EPI/EPC/FERRAMENTAL	NÃO
4206	TRENA EM FIBRA DE VIDRO 50 MTS	UND  	EPI/EPC/FERRAMENTAL	NÃO
4216	PARAFUSO FENDA M3 X 15MM	UND  	FABRICAÇÃO	-
4217	PARAFUSO FENDA 1/4' X 3/4'	UND  	FABRICAÇÃO	-
4218	PARAFUSO CABEÇA SEXTAVADA 3/8X2 PO AR L.S PR	UND  	FABRICAÇÃO	-
4220	"TUBO DE PVC 1"" (SEAL TUBO) PRETO"	UND  	FABRICAÇÃO	-
4221	MEDIDOR ION 8600C 2MB 5A AUX-65-120VAC  FUNÇÃO: P8600C0C0H6E1A0B	pç	OUTROS	-
4229	TERMINAL AGULHA 1.5-2.5MM² (AZUL)	UND  	FABRICAÇÃO	-
4230	PLACA DO MÓDULO RF MODELO RC915-P 127V	UND  	FABRICAÇÃO	-
4231	PARAFUSO RM CABEÇA REDONDA 3/16 X 1/2 C/ PORCA	UND  	FABRICAÇÃO	-
4233	"ARRUELA DE PRESSÃO 1/4"""	UND  	FABRICAÇÃO	-
4236	SELO DE ALTA SEGURANÇA PERSONALIZADO INMETRO	UND  	FABRICAÇÃO	-
4241	ABRAÇADEIRA NYLON 39X4,7MM	UND  	FABRICAÇÃO	-
4242	"CAIXA MEDIDOR POLIFASICO 407X273mm ""LOGO ENEL"""	UND  	FABRICAÇÃO	-
4251	MANGA DE RASPA PARA SOLDADOR - EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
4253	BANDEIROLA DE PANO VERMELHO C/ CORDÃO 40CM X 40CM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4255	BANDEIROLA PLASTICA VERMELHA C/ ILHOES 40CM X 40CM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4256	ÓCULOS DE SEGURANÇA EM PVC C/ VENTILAÇÃO ENEL VISÃO	UND  	EPI/EPC/FERRAMENTAL	SIM
4257	CAPACETE DE SEGURANÇA C/ ABA TOTAL CLB VERDE	UND  	EPI/EPC/FERRAMENTAL	SIM
4258	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 44-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4259	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 43-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4260	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 42-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4261	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 41-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4262	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 40-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4263	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 39-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4264	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 38-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4265	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 37-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4266	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 36-EPI	PAR  	EPI/EPC/FERRAMENTAL	SIM
4270	"CHAVE PHILLIPS C/HASTE ISOLADA 1KV 5/16""X10"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4271	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8""X6"""	PC   	EPI/EPC/FERRAMENTAL	NÃO
4273	"CHAVE FENDA S/ISOLAMENTO 1kV DE 3/16""X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4274	ALICATE AMPERIMETRO DIGITAL VA750 INSTRUTHERM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4277	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO M 42-44 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4288	GRAMPO P/GRAMPEADOR 26/06 CX C/5000 UNIDADES	CX   	ESCRITÓRIO	-
4291	REATOR ELET. HO DUPLO ALTO FATOR 2X 110W 220V	UNID	OUTROS	-
4304	LACRE -TRANK 4 S/RABICHO C/ARAME INCOLOR C/ACREDITAÇÃO CAM ARJ017	UND  	FABRICAÇÃO	-
4309	LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 0 1kV TAM.10	PAR  	EPI/EPC/FERRAMENTAL	SIM
4311	ESCADA EXTENSÍVEL PERFIL U COMP.7,87 DEGRAU ISOLADO	UND  	EPI/EPC/FERRAMENTAL	NÃO
4316	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM M"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4317	"CAMISA MALHA CINZA MESCLA 100% ALG.""3C"" TAM.XG UNIF"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4320	"CAMISA MALHA CINZA MESCLA 100% ALG.""3C"" TAM.P UNIF"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4321	"CAMISA MALHA CINZA MESCLA 100% ALG.""3C"" TAM.M UNIF"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4322	"CAMISA MALHA CINZA MESCLA 100% ALG.""3C"" TAM.GG UNIF"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4331	"PRENSA-CABO ROSQUEADO DE 1.1/4"" LP+P3X10-UV-LT-PA-40dan"	PC   	FABRICAÇÃO	-
4333	"PRENSA-CABO 1 1/2"""	UND  	FABRICAÇÃO	-
4358	LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 4 1kV TAM.10 REF.P-EMS24	PAR  	EPI/EPC/FERRAMENTAL	SIM
4359	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8""X5"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4360	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM38	PC   	EPI/EPC/FERRAMENTAL	NÃO
4361	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM40	PC   	EPI/EPC/FERRAMENTAL	NÃO
4362	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM42	PC   	EPI/EPC/FERRAMENTAL	NÃO
4363	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM44	PC   	EPI/EPC/FERRAMENTAL	NÃO
4364	JALECO CONFECCIONADO EM TECIDO CINZA TAM.XG	PC   	OUTROS	-
4366	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM.G"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4367	"CAMISA BEGE C/BORDADO ""3C"" EM UNIOFFICE P/SUPERVISOR TAM.P"	PC   	EPI/EPC/FERRAMENTAL	NÃO
4368	CADEADO DE LATÃO TIPO E-50 - PAPAIZ	UND  	EPI/EPC/FERRAMENTAL	NÃO
4369	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 10MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4370	"SERRA COPO 25MM H0100 1"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
4372	ETIQUETA ADESIVA LOGO COELCE TAM.	UND  	FABRICAÇÃO	-
4376	"PARAFUSO FENDA 1/4""X20 X1.1/4"""	UND  	FABRICAÇÃO	-
4377	CABO FLEXÍVEL ANTICHAMA BWF 2,5MM² 450/750V PRETO (100 METROS)	MT   	FABRICAÇÃO	-
4380	MEDIDOR MONOFÁSICO PLC C/CORTE MEP01-PLC1, 110V.	UND  	FABRICAÇÃO	-
4382	MEDIDOR TRIFÁSICO PLC MTSE02 B1, 110V.	UND  	FABRICAÇÃO	-
4390	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO P 38-40 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4391	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.40 - UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4392	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO GG 50-52 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4393	CALÇA FUNCIONÁRIO BRIM BEGE TAM.GG 50-53 CAM UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4394	CALÇA FUNCIONÁRIO BRIM BEGE TAM.M 42-45 CAM UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4395	CALÇA FUNCIONÁRIO BRIM BEGE TAM.P 38-41 CAM UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4396	CALÇA FUNCIONÁRIO BRIM BEGE TAM.PP 34-37 CAM UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4397	CALÇA FUNCIONÁRIO BRIM BEGE TAM.XG 54-60 CAM UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4398	CAMISA FUNCIONÁRIO BRIM BEGE TAM.P 44-46 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4399	CAMISA FUNCIONÁRIO BRIM BEGE TAM.PP 38-40 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4400	CAMISA FUNCIONÁRIO BRIM BEGE TAM.G 52-54 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4402	CAMISA FUNCIONÁRIO BRIM BEGE TAM.GG 56-58 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4403	CAMISA FUNCIONÁRIO BRIM BEGE TAM.XG 60-62 UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4405	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 41-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4406	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 38-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4407	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 40-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4408	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 43-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4409	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 45-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4410	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 42-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4411	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 44-EPI	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4413	ETIQUETA PIMACO REF.61082 33,9X101,6MM (FOLHA)	FL	OUTROS	-
4414	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.48 - UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4415	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.50 - UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4416	CALÇA SUPERVISOR TECIDO SOL A SOL VERDE TAM.58 - UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4417	CAMISA AZUL P/SUPERVISOR TAM GG UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4418	CAMISA AZUL P/SUPERVISOR TAM XG UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4419	GUARDA PÓ EM BRIM LEVE BRANCA TAM.G UNIF	PC   	OUTROS	-
4420	GUARDA PÓ EM BRIM LEVE BRANCA TAM.GG UNIF	PC   	OUTROS	-
4421	GUARDA PÓ EM BRIM LEVE BRANCA TAM.M UNIF	PC   	OUTROS	-
4422	GUARDA PÓ EM BRIM LEVE BRANCA TAM.XG UNIF	PC   	OUTROS	-
4429	CALÇA EM BRIM AZUL ROYAL TAM.M UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4430	CALÇA EM BRIM AZUL ROYAL TAM.P UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4431	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.GG-UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4432	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.M-UNIF	PAR  	EPI/EPC/FERRAMENTAL	NÃO
4433	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.P-UNIF	PC   	EPI/EPC/FERRAMENTAL	NÃO
4434	JALECO CONFECCIONADO EM TECIDO CINZA TAM.G	PC   	OUTROS	-
4435	JALECO CONFECCIONADO EM TECIDO CINZA TAM.GG	PC   	OUTROS	-
4436	JALECO CONFECCIONADO EM TECIDO CINZA TAM.M	PC   	OUTROS	-
4445	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO M-EPI	PC   	EPI/EPC/FERRAMENTAL	NÃO
4446	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO P-EPI	PC   	EPI/EPC/FERRAMENTAL	NÃO
4447	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO G-EPI	PC   	EPI/EPC/FERRAMENTAL	NÃO
4448	BROCA DE VÍDEA 8MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
4450	COLETE DE SINALIZAÇÃO TIPO X REFLETIVA FP	PC   	EPI/EPC/FERRAMENTAL	NÃO
4451	MASCARA DE PROTEÇÃO P/POEIRA - EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
4453	OCULOS SOBREPOR INCOLOR ET-30-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
4454	OCULOS SOBREPOR CINZA ET-30-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
4455	CARRETILHA P/IÇAR MATERIAL REF.SE232R	UND  	EPI/EPC/FERRAMENTAL	NÃO
4456	CORTA GALHO TIPO PADRÃO MARCA BIEHL	UND  	EPI/EPC/FERRAMENTAL	NÃO
4457	AVENTAL DE RASPA P/SOLDADOR-EPI	PC   	EPI/EPC/FERRAMENTAL	NÃO
4459	PARAFUSO CABEÇA ABAULUADA 150X75X16MM	UND  	OUTROS	-
4464	ESCADA MADEIRA EXTENSÍVEL 6M / 10.80M	UND  	EPI/EPC/FERRAMENTAL	NÃO
4465	ESCADA MADEIRA SINGELA 4.20M	UND  	EPI/EPC/FERRAMENTAL	NÃO
4466	ESCADA EXTENSIVA FIBRA VIDRO 6280X10076 REF. EMS56	UND  	EPI/EPC/FERRAMENTAL	NÃO
4471	FIXADOR P/FIOS E CABOS	UND  	OUTROS	-
4474	MOUSE OPTICO USB	UND  	ESCRITÓRIO	-
4477	ETIQUETA ADESIVA P/TERMINAL DE LEITURA MCEE/I-01 127V/60Hz	UND  	FABRICAÇÃO	-
4480	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	EPI/EPC/FERRAMENTAL	SIM
4481	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	EPI/EPC/FERRAMENTAL	SIM
4482	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	UND  	EPI/EPC/FERRAMENTAL	SIM
4483	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	UND  	EPI/EPC/FERRAMENTAL	SIM
4484	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	EPI/EPC/FERRAMENTAL	SIM
4485	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	EPI/EPC/FERRAMENTAL	SIM
4486	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	EPI/EPC/FERRAMENTAL	SIM
4487	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	EPI/EPC/FERRAMENTAL	SIM
4495	CADEIRA SECRETÁRIA EXECUTIVA BACK SYSTEM BRAÇO REGULÁVEL	PÇ	OUTROS	-
4503	FITA POLIÉSTER RIBBON DE RESINA PURA COR PRETO 110MX74MM	BB   	OUTROS	-
4504	PILHA ALCALINA RECARREGAVEL AA MODELO 2300mAh	UND  	ESCRITÓRIO	-
4505	COPO PLÁSTICO PP DESCARTÁVEL 200ML (C/ 2.500)	CX   	OUTROS	-
4509	ABRAÇADEIRA NYLON 760MM² DDT-1750 I5	UND  	OUTROS	-
4513	ALÇA PREFORMADA AÇO 10MM² TRIPOLAR CB	UND  	OUTROS	-
4519	FIO RIGIDO (FIO SÓLIDO) 1,50MM PRETO 750V	MT   	FABRICAÇÃO	-
4520	"PRENSA-CABO COMPLETO-BSP 1/2"" LP+P/UV-LT-PA-40DAN"	PC   	FABRICAÇÃO	-
4521	"PRENSA-CABO - BSP 3/4"" LP+P/UV-LT-PA-40DAN"	PC   	FABRICAÇÃO	-
4529	ISOLADOR DE PORCELANA PINO MULTICORPO 34,5kV MARROM ANSI-56-3	UND  	COMERCIALIZAÇÃO	-
4539	BORNE P/ 4MM BO529 PRETO	UND  	FABRICAÇÃO	-
4544	"FORMULÁRIO ""CONTROLE DE SERVIÇOS HH"" C/30 FLS (30X3) TAM.155X215MM"	BL	OUTROS	-
4546	FITA POLIÉSTER RIBBON C/ENTINTAMENTO RESINA 110X450 METROS	TB   	FABRICAÇÃO	-
4551	"ETIQUETA ADESIVA ""BOPP PEROLADO"" 103x126MM - ROLO 83 METROS"	RL   	FABRICAÇÃO	-
